FILE,WATCHED,CUT,SOUND,HISS,MOVEMENT,NOISE,WEIRD
2_2_trial_23_p1_blij_combinatie_c2_final.avi,1,1,0,0,0,0,0
2_2_trial_24_p1_hoog_combinatie_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_26_p1_hoog_combinatie_c2_final.avi,1,1,0,0,0,0,0
2_2_trial_28_p1_misschien_combinatie_c1_final.avi,1,1,0,0,0,0,0
2_2_trial_35_p1_zuigen_combinatie_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_42_p0_man_geluiden_c1_final.avi,1,0,0,0,0,0,0
2_2_trial_4_p0_kind_combinatie_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_5_p0_kind_combinatie_c1_final.avi,1,1,0,0,0,0,0
2_2_trial_61_p1_vlieg_geluiden_c0_final.avi,1,0,0,0,0,0,0
2_2_trial_6_p0_kind_combinatie_c2_final.avi,1,1,0,0,0,0,0
2_2_trial_77_p0_koud_gebaren_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_78_p0_walgen_gebaren_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_80_p0_walgen_gebaren_c2_final.avi,1,1,0,0,0,0,0
2_2_trial_81_p0_hond_gebaren_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_82_p0_hond_gebaren_c1_final.avi,1,1,0,0,0,0,0
2_2_trial_83_p0_hond_gebaren_c2_final.avi,1,1,0,0,0,0,0
2_2_trial_98_p1_oud_gebaren_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_99_p1_regen_gebaren_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_9_p0_dood_combinatie_c2_final.avi,1,1,0,0,0,0,0
30_1_trial_17_p1_staan_geluiden_final.avi,1,1,0,0,0,0,0
30_1_trial_30_p1_vis_gebaren_final.avi,1,1,0,0,0,0,0
30_2_trial_38_p1_geven_geluiden_c1_final.avi,1,0,0,0,0,0,0
30_2_trial_85_p0_man_combinatie_c0_final.avi,1,0,0,0,0,0,0
30_2_trial_87_p0_man_combinatie_c2_final.avi,1,0,0,0,0,0,0
31_1_trial_4_p0_piepen_gebaren_final.avi,1,1,0,0,0,0,0
31_2_rein_trial_61_p1_vrouw_geluiden_c2_final.avi,1,1,0,0,0,0,0
31_2_rein_trial_63_p1_hoog_geluiden_c1_final.avi,1,1,0,0,0,0,0
31_2_rein_trial_81_p0_ver_combinatie_c0_final.avi,1,0,0,0,0,0,0
32_2_trial_24_p1_bitter_gebaren_c2_final.avi,1,1,0,0,0,0,0
32_2_trial_39_p0_kind_combinatie_c2_final.avi,1,0,0,0,0,0,0
32_2_trial_47_p0_grommen_combinatie_c2_final.avi,1,1,0,0,0,0,0
32_2_trial_48_p0_staan_combinatie_c0_final.avi,1,0,0,0,0,0,0
33_2_trial_101_p1_niet_combinatie_c2_final.avi,1,1,0,0,0,0,0
33_2_trial_26_p1_man_gebaren_c2_final.avi,1,1,0,0,0,0,0
34_1_trial_22_p0_onweer_geluiden_final.avi,1,0,0,0,0,0,0
34_2_trial_93_p1_zout_combinatie_c0_final.avi,1,1,0,0,0,0,0
35_2_trial_22_p1_snel_gebaren_c1_final.avi,1,1,0,0,0,0,0
35_2_trial_58_p1_blazen_combinatie_c0_final.avi,1,1,0,0,0,0,0
35_2_trial_78_p0_onweer_geluiden_c2_final.avi,1,0,0,0,0,0,0
35_2_trial_79_p0_kruipen_geluiden_c0_final.avi,1,0,0,0,0,0,0
35_2_trial_82_p0_jagen_geluiden_c0_final.avi,1,0,0,0,0,0,0
35_2_trial_84_p0_jagen_geluiden_c2_final.avi,1,0,0,0,0,0,0
35_2_trial_92_p1_hond_geluiden_c0_final.avi,1,1,0,0,0,0,0
35_2_trial_97_p1_langzaam_geluiden_c1_final.avi,1,1,0,0,0,0,0
35_2_trial_98_p1_ademen_geluiden_c0_final.avi,1,1,0,0,0,0,0
35_2_trial_103_p1_geven_geluiden_c1_final.avi,1,1,0,0,0,0,0
35_2_trial_105_p1_likken_geluiden_c0_final.avi,1,1,0,0,0,0,0
36_1_rein_trial_23_p0_zuur_gebaren_final.avi,1,1,0,0,0,0,0
36_2_trial_10_p0_klein_geluiden_c0_final.avi,1,0,0,0,0,0,0
36_2_trial_13_p0_vangen_geluiden_c0_final.avi,1,0,0,0,0,0,0
36_2_trial_14_p0_vangen_geluiden_c1_final.avi,1,0,0,0,0,0,0
36_2_trial_36_p1_oud_geluiden_c2_final.avi,1,1,0,0,0,0,0
36_2_trial_37_p1_bijten_geluiden_c0_final.avi,1,1,0,0,0,0,0
36_2_trial_38_p1_bijten_geluiden_c1_final.avi,1,1,0,0,0,0,0
37_1_trial_14_p1_oud_gebaren_final.avi,1,1,0,0,0,0,0
37_2_trial_26_p1_hond_gebaren_c1_final.avi,1,1,0,0,0,0,0
37_2_trial_27_p1_scherp_gebaren_c0_final.avi,1,0,,,,,
38_2_trial_18_p0_staan_gebaren_c0_final.avi,1,1,0,0,0,0,0
