"term_type","parameter","m0","m1","m2","m3","m4"
"fixed","correction2M1:modality1:BFI_extra","—","—","—","—","-0.019 [-0.084, 0.047]"
"fixed","correction2M1:modality1:BFI_extra:Familiarity","—","—","—","—","0.006 [-0.058, 0.071]"
"fixed","correction2M1:modality1:Familiarity","—","—","—","—","0.009 [-0.055, 0.073]"
"fixed","correction2M1:modality1:expressibility_z","—","—","—","—","0.064 [-0.005, 0.132]"
"fixed","correction2M1:modality1:expressibility_z:BFI_extra","—","—","—","—","-0.02 [-0.088, 0.048]"
"fixed","correction2M1:modality1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","0.018 [-0.046, 0.082]"
"fixed","correction2M1:modality1:expressibility_z:Familiarity","—","—","—","—","-0.023 [-0.088, 0.044]"
"fixed","correction3M2","-0.003 [-0.049, 0.043]","0.014 [-0.032, 0.059]","0.013 [-0.033, 0.058]","0.013 [-0.034, 0.059]","0.024 [-0.024, 0.073]"
"fixed","correction3M2:BFI_extra","—","—","—","—","0.018 [-0.03, 0.066]"
"fixed","correction3M2:BFI_extra:Familiarity","—","—","—","—","-0.009 [-0.057, 0.039]"
"fixed","correction3M2:Familiarity","—","—","—","—","0.014 [-0.033, 0.062]"
"fixed","correction3M2:expressibility_z","—","—","—","—","0.026 [-0.021, 0.073]"
"fixed","correction3M2:expressibility_z:BFI_extra","—","—","—","—","-0.009 [-0.055, 0.035]"
"fixed","correction3M2:expressibility_z:BFI_extra:Familiarity","—","—","—","—","0 [-0.044, 0.045]"
"fixed","correction3M2:expressibility_z:Familiarity","—","—","—","—","0.009 [-0.035, 0.053]"
"fixed","correction3M2:modality1","—","—","—","—","0.045 [-0.048, 0.137]"
"fixed","correction3M2:modality1:BFI_extra","—","—","—","—","0.016 [-0.077, 0.107]"
"fixed","correction3M2:modality1:BFI_extra:Familiarity","—","—","—","—","-0.02 [-0.112, 0.072]"
"fixed","correction3M2:modality1:Familiarity","—","—","—","—","-0.038 [-0.128, 0.051]"
"fixed","correction3M2:modality1:expressibility_z","—","—","—","—","-0.073 [-0.167, 0.023]"
"fixed","correction3M2:modality1:expressibility_z:BFI_extra","—","—","—","—","0.107 [0.015, 0.197] *"
"fixed","correction3M2:modality1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.031 [-0.12, 0.059]"
"fixed","correction3M2:modality1:expressibility_z:Familiarity","—","—","—","—","-0.03 [-0.12, 0.06]"
"fixed","expressibility_z","—","0.02 [-0.008, 0.048]","0.02 [-0.009, 0.049]","0.02 [-0.009, 0.049]","0.024 [-0.007, 0.055]"
"fixed","expressibility_z:BFI_extra","—","—","—","—","-0.002 [-0.02, 0.016]"
"fixed","expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.001 [-0.018, 0.016]"
"fixed","expressibility_z:Familiarity","—","—","—","—","0.009 [-0.009, 0.026]"
"fixed","modality1","—","-0.032 [-0.06, -0.003] *","-0.03 [-0.071, 0.012]","-0.03 [-0.071, 0.012]","-0.03 [-0.074, 0.016]"
"fixed","modality1:BFI_extra","—","—","—","—","0.032 [-0.01, 0.072]"
"fixed","modality1:BFI_extra:Familiarity","—","—","—","—","0.047 [0.006, 0.088] *"
"fixed","modality1:Familiarity","—","—","—","—","-0.005 [-0.046, 0.035]"
"fixed","modality1:expressibility_z","—","—","—","—","0.025 [-0.015, 0.065]"
"fixed","modality1:expressibility_z:BFI_extra","—","—","—","—","0.018 [-0.017, 0.053]"
"fixed","modality1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.03 [-0.065, 0.005]"
"fixed","modality1:expressibility_z:Familiarity","—","—","—","—","-0.027 [-0.063, 0.009]"
"random_sd","sd() | residual__","0.42 [0.41, 0.431]","0.37 [0.36, 0.381]","0.363 [0.353, 0.373]","0.362 [0.353, 0.373]","0.361 [0.351, 0.371]"
"random_sd","sd(BFI_extra) | SessionID","—","—","0.046 [0.003, 0.104]","0.045 [0.002, 0.1]","0.049 [0.003, 0.107]"
"random_sd","sd(Familiarity) | SessionID","—","—","0.032 [0.001, 0.086]","0.032 [0.001, 0.085]","0.032 [0.001, 0.086]"
"random_sd","sd(Familiarity:BFI_extra) | SessionID","—","—","—","—","0.026 [0.001, 0.075]"
"random_sd","sd(Intercept) | SessionID","—","0.077 [0.011, 0.13]","0.072 [0.006, 0.129]","0.072 [0.008, 0.127]","0.07 [0.006, 0.127]"
"random_sd","sd(Intercept) | concept","—","0.118 [0.094, 0.147]","0.116 [0.091, 0.143]","0.117 [0.093, 0.144]","0.117 [0.093, 0.144]"
"random_sd","sd(Intercept) | pcn_ID","—","0.141 [0.11, 0.174]","0.136 [0.101, 0.172]","0.135 [0.1, 0.171]","0.135 [0.1, 0.172]"
"random_sd","sd(correction2M1) | concept","—","0.027 [0.001, 0.069]","0.028 [0.001, 0.072]","0.028 [0.001, 0.073]","0.028 [0.001, 0.074]"
"random_sd","sd(correction2M1) | pcn_ID","—","0.026 [0.001, 0.07]","0.029 [0.001, 0.076]","0.029 [0.001, 0.074]","0.029 [0.001, 0.074]"
"random_sd","sd(correction2M1:expressibility_z) | pcn_ID","—","—","—","—","0.021 [0.001, 0.058]"
"random_sd","sd(correction2M1:modality1) | concept","—","—","—","—","0.054 [0.002, 0.14]"
"random_sd","sd(correction2M1:modality1) | pcn_ID","—","—","—","—","0.048 [0.002, 0.126]"
"random_sd","sd(correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.05 [0.002, 0.133]"
"random_sd","sd(correction3M2) | concept","—","0.04 [0.002, 0.102]","0.044 [0.002, 0.108]","0.046 [0.002, 0.11]","0.046 [0.002, 0.111]"
"random_sd","sd(correction3M2) | pcn_ID","—","0.07 [0.005, 0.139]","0.069 [0.004, 0.138]","0.077 [0.007, 0.14]","0.079 [0.007, 0.144]"
"random_sd","sd(correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.027 [0.001, 0.073]"
"random_sd","sd(correction3M2:modality1) | concept","—","—","—","—","0.08 [0.004, 0.2]"
"random_sd","sd(correction3M2:modality1) | pcn_ID","—","—","—","—","0.065 [0.003, 0.171]"
"random_sd","sd(correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.065 [0.003, 0.169]"
"random_sd","sd(expressibility_z) | pcn_ID","—","—","0.018 [0.001, 0.045]","0.018 [0.001, 0.045]","0.017 [0.001, 0.044]"
"random_sd","sd(modality1) | concept","—","—","0.06 [0.006, 0.115]","0.062 [0.006, 0.115]","0.058 [0.005, 0.113]"
"random_sd","sd(modality1) | pcn_ID","—","—","0.134 [0.094, 0.176]","0.135 [0.094, 0.176]","0.124 [0.08, 0.168]"
"random_sd","sd(modality1:expressibility_z) | pcn_ID","—","—","—","—","0.039 [0.002, 0.094]"
"random_cor","cor(BFI_extra x Familiarity) | SessionID","—","—","-0.031 [-0.621, 0.580]","—","—"
"random_cor","cor(Intercept x BFI_extra) | SessionID","—","—","0.079 [-0.527, 0.624]","—","—"
"random_cor","cor(Intercept x Familiarity) | SessionID","—","—","0.005 [-0.587, 0.591]","—","—"
"random_cor","cor(Intercept x correction2M1) | concept","—","-0.140 [-0.669, 0.461]","-0.142 [-0.652, 0.451]","—","—"
"random_cor","cor(Intercept x correction2M1) | pcn_ID","—","0.030 [-0.553, 0.593]","0.018 [-0.513, 0.537]","—","—"
"random_cor","cor(Intercept x correction3M2) | concept","—","-0.076 [-0.610, 0.502]","-0.079 [-0.590, 0.476]","—","—"
"random_cor","cor(Intercept x correction3M2) | pcn_ID","—","-0.076 [-0.557, 0.430]","-0.023 [-0.494, 0.450]","—","—"
"random_cor","cor(Intercept x expressibility_z) | pcn_ID","—","—","-0.004 [-0.506, 0.504]","—","—"
"random_cor","cor(Intercept x modality1) | concept","—","—","0.145 [-0.334, 0.576]","—","—"
"random_cor","cor(Intercept x modality1) | pcn_ID","—","—","-0.032 [-0.351, 0.297]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | concept","—","0.004 [-0.594, 0.605]","0.014 [-0.560, 0.584]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | pcn_ID","—","-0.010 [-0.614, 0.581]","-0.016 [-0.562, 0.540]","—","—"
"random_cor","cor(correction2M1 x expressibility_z) | pcn_ID","—","—","0.070 [-0.506, 0.608]","—","—"
"random_cor","cor(correction2M1 x modality1) | concept","—","—","-0.015 [-0.574, 0.549]","—","—"
"random_cor","cor(correction2M1 x modality1) | pcn_ID","—","—","-0.069 [-0.579, 0.490]","—","—"
"random_cor","cor(correction3M2 x expressibility_z) | pcn_ID","—","—","-0.011 [-0.548, 0.540]","—","—"
"random_cor","cor(correction3M2 x modality1) | concept","—","—","0.028 [-0.553, 0.580]","—","—"
"random_cor","cor(correction3M2 x modality1) | pcn_ID","—","—","0.061 [-0.446, 0.532]","—","—"
"random_cor","cor(modality1 x expressibility_z) | pcn_ID","—","—","0.101 [-0.443, 0.599]","—","—"
