"term_type","parameter","m0","m1","m2","m3","m4"
"model_summary","n_neff_bad","0","0","1","0","0"
"model_summary","n_rhat_bad","0","0","0","0","0"
"model_summary","p_loo","3.794","236.297","354.235","352.561","401.875"
"model_summary","p_loo_vs_n_obs","0.001","0.076","0.114","0.114","0.129"
"model_summary","p_loo_vs_n_params","0.542","0.336","0.302","0.306","0.178"
"model_summary","p_waic","3.79","234.648","348.807","347.298","393.837"
"model_summary","se_elpd","59.38","60.581","61.161","61.054","61.145"
"model_summary","waic","77407.694","75232.712","75094.386","75102.524","75121.475"
"fixed","BFI_extra","—","0.03 [-0.032, 0.094]","0.042 [-0.03, 0.114]","0.043 [-0.032, 0.118]","0.044 [-0.035, 0.123]"
"fixed","BFI_extra:Familiarity","—","—","—","—","-0.001 [-0.085, 0.086]"
"fixed","Familiarity","—","-0.019 [-0.104, 0.068]","-0.023 [-0.117, 0.068]","-0.019 [-0.11, 0.073]","-0.022 [-0.117, 0.071]"
"fixed","Intercept","11.387 [11.358, 11.417] *","11.406 [11.279, 11.532] *","11.408 [11.279, 11.537] *","11.405 [11.274, 11.534] *","11.408 [11.277, 11.54] *"
"fixed","TrialNumber_c","—","0.001 [0, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002]"
"fixed","correction2M1","0.211 [0.15, 0.274] *","0.196 [0.146, 0.247] *","0.194 [0.144, 0.243] *","0.194 [0.144, 0.243] *","0.194 [0.144, 0.244] *"
"fixed","correction2M1:BFI_extra","—","—","—","—","-0.004 [-0.051, 0.044]"
"fixed","correction2M1:BFI_extra:Familiarity","—","—","—","—","0.007 [-0.04, 0.054]"
"fixed","correction2M1:Familiarity","—","—","—","—","0.01 [-0.037, 0.058]"
"fixed","correction2M1:modality1","—","—","—","—","-0.002 [-0.087, 0.085]"
"fixed","correction2M1:modality1:BFI_extra","—","—","—","—","-0.053 [-0.139, 0.032]"
"fixed","correction2M1:modality1:BFI_extra:Familiarity","—","—","—","—","-0.023 [-0.106, 0.06]"
"fixed","correction2M1:modality1:Familiarity","—","—","—","—","0.011 [-0.073, 0.095]"
"fixed","correction3M2","0.136 [0.053, 0.216] *","0.147 [0.087, 0.208] *","0.145 [0.086, 0.205] *","0.146 [0.087, 0.205] *","0.15 [0.09, 0.209] *"
"fixed","correction3M2:BFI_extra","—","—","—","—","0.025 [-0.031, 0.08]"
"fixed","correction3M2:BFI_extra:Familiarity","—","—","—","—","-0.015 [-0.07, 0.04]"
"fixed","correction3M2:Familiarity","—","—","—","—","-0.009 [-0.065, 0.047]"
"fixed","correction3M2:modality1","—","—","—","—","0.043 [-0.073, 0.159]"
"fixed","correction3M2:modality1:BFI_extra","—","—","—","—","-0.043 [-0.155, 0.069]"
"fixed","correction3M2:modality1:BFI_extra:Familiarity","—","—","—","—","0.036 [-0.073, 0.147]"
"fixed","correction3M2:modality1:Familiarity","—","—","—","—","-0.045 [-0.155, 0.065]"
"fixed","expressibility_z","—","-0.097 [-0.159, -0.035] *","-0.086 [-0.16, -0.014] *","-0.087 [-0.161, -0.014] *","-0.084 [-0.157, -0.013] *"
"fixed","modality1","—","0.075 [0.035, 0.115] *","0.078 [0.01, 0.148] *","0.077 [0.01, 0.147] *","0.072 [0.001, 0.143] *"
"fixed","modality1:BFI_extra","—","—","—","—","0.013 [-0.047, 0.072]"
"fixed","modality1:BFI_extra:Familiarity","—","—","—","—","0.092 [0.033, 0.151] *"
"fixed","modality1:Familiarity","—","—","—","—","-0.017 [-0.077, 0.043]"
"random_sd","sd() | residual__","0.758 [0.739, 0.776]","0.513 [0.5, 0.526]","0.491 [0.478, 0.505]","0.492 [0.478, 0.506]","0.489 [0.475, 0.503]"
"random_sd","sd(BFI_extra) | SessionID","—","—","0.116 [0.008, 0.235]","0.139 [0.016, 0.252]","0.141 [0.015, 0.258]"
"random_sd","sd(Familiarity) | SessionID","—","—","0.103 [0.006, 0.232]","0.093 [0.005, 0.22]","0.094 [0.005, 0.226]"
"random_sd","sd(Familiarity:BFI_extra) | SessionID","—","—","—","—","0.067 [0.003, 0.188]"
"random_sd","sd(Intercept) | SessionID","—","0.317 [0.229, 0.41]","0.315 [0.218, 0.414]","0.318 [0.228, 0.415]","0.319 [0.23, 0.415]"
"random_sd","sd(Intercept) | concept","—","0.371 [0.313, 0.443]","0.366 [0.309, 0.434]","0.375 [0.318, 0.441]","0.376 [0.318, 0.444]"
"random_sd","sd(Intercept) | pcn_ID","—","0.292 [0.237, 0.361]","0.258 [0.184, 0.338]","0.241 [0.172, 0.318]","0.237 [0.167, 0.315]"
"random_sd","sd(correction2M1) | concept","—","0.042 [0.002, 0.103]","0.044 [0.002, 0.105]","0.039 [0.002, 0.102]","0.038 [0.002, 0.098]"
"random_sd","sd(correction2M1) | pcn_ID","—","0.125 [0.05, 0.186]","0.117 [0.038, 0.179]","0.119 [0.044, 0.179]","0.124 [0.051, 0.183]"
"random_sd","sd(correction2M1:modality1) | concept","—","—","—","—","0.051 [0.002, 0.143]"
"random_sd","sd(correction2M1:modality1) | pcn_ID","—","—","—","—","0.06 [0.002, 0.162]"
"random_sd","sd(correction3M2) | concept","—","0.067 [0.004, 0.148]","0.074 [0.006, 0.152]","0.06 [0.003, 0.144]","0.055 [0.002, 0.137]"
"random_sd","sd(correction3M2) | pcn_ID","—","0.048 [0.002, 0.127]","0.046 [0.002, 0.126]","0.05 [0.002, 0.131]","0.052 [0.002, 0.134]"
"random_sd","sd(correction3M2:modality1) | concept","—","—","—","—","0.098 [0.004, 0.247]"
"random_sd","sd(correction3M2:modality1) | pcn_ID","—","—","—","—","0.07 [0.003, 0.195]"
"random_sd","sd(expressibility_z) | pcn_ID","—","—","0.058 [0.016, 0.094]","0.05 [0.006, 0.089]","0.049 [0.005, 0.09]"
"random_sd","sd(expressibility_z:correction2M1) | pcn_ID","—","—","—","—","0.03 [0.001, 0.082]"
"random_sd","sd(expressibility_z:correction2M1:modality1) | pcn_ID","—","—","—","—","0.068 [0.003, 0.179]"
"random_sd","sd(expressibility_z:correction3M2) | pcn_ID","—","—","—","—","0.042 [0.002, 0.11]"
"random_sd","sd(expressibility_z:correction3M2:modality1) | pcn_ID","—","—","—","—","0.059 [0.002, 0.163]"
"random_sd","sd(expressibility_z:modality1) | pcn_ID","—","—","—","—","0.096 [0.011, 0.168]"
"random_sd","sd(modality1) | concept","—","—","0.148 [0.085, 0.21]","0.149 [0.09, 0.209]","0.143 [0.079, 0.204]"
"random_sd","sd(modality1) | pcn_ID","—","—","0.249 [0.197, 0.305]","0.246 [0.194, 0.301]","0.229 [0.176, 0.286]"
"random_cor","cor(Familiarity x BFI_extra) | SessionID","—","—","-0.072 [-0.654, 0.544]","—","—"
"random_cor","cor(Intercept x BFI_extra) | SessionID","—","—","0.144 [-0.399, 0.596]","—","—"
"random_cor","cor(Intercept x Familiarity) | SessionID","—","—","-0.156 [-0.662, 0.424]","—","—"
"random_cor","cor(Intercept x correction2M1) | concept","—","-0.202 [-0.704, 0.418]","-0.207 [-0.675, 0.388]","—","—"
"random_cor","cor(Intercept x correction2M1) | pcn_ID","—","0.321 [-0.074, 0.650]","0.230 [-0.192, 0.599]","—","—"
"random_cor","cor(Intercept x correction3M2) | concept","—","-0.281 [-0.734, 0.329]","-0.310 [-0.726, 0.260]","—","—"
"random_cor","cor(Intercept x correction3M2) | pcn_ID","—","0.047 [-0.528, 0.598]","0.031 [-0.508, 0.550]","—","—"
"random_cor","cor(Intercept x expressibility_z) | pcn_ID","—","—","-0.381 [-0.733, 0.080]","—","—"
"random_cor","cor(Intercept x modality1) | concept","—","—","0.030 [-0.284, 0.344]","—","—"
"random_cor","cor(Intercept x modality1) | pcn_ID","—","—","-0.148 [-0.447, 0.168]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | concept","—","0.039 [-0.562, 0.614]","0.051 [-0.526, 0.601]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | pcn_ID","—","0.032 [-0.563, 0.606]","0.021 [-0.522, 0.560]","—","—"
"random_cor","cor(correction2M1 x expressibility_z) | pcn_ID","—","—","-0.047 [-0.519, 0.416]","—","—"
"random_cor","cor(correction2M1 x modality1) | concept","—","—","0.126 [-0.456, 0.632]","—","—"
"random_cor","cor(correction2M1 x modality1) | pcn_ID","—","—","0.044 [-0.341, 0.413]","—","—"
"random_cor","cor(correction3M2 x expressibility_z) | pcn_ID","—","—","0.030 [-0.523, 0.565]","—","—"
"random_cor","cor(correction3M2 x modality1) | concept","—","—","0.129 [-0.427, 0.621]","—","—"
"random_cor","cor(correction3M2 x modality1) | pcn_ID","—","—","-0.040 [-0.561, 0.510]","—","—"
"random_cor","cor(modality1 x expressibility_z) | pcn_ID","—","—","0.246 [-0.152, 0.600]","—","—"
