"term_type","parameter","m0","m1","m2","m3","m4"
"model_summary","p_loo","4.054","240.115","406.328","412.304","495.349"
"model_summary","p_loo_vs_n_obs","0.001","0.067","0.113","0.114","0.137"
"model_summary","p_loo_vs_n_params","0.579","0.341","0.347","0.358","0.217"
"model_summary","p_waic","4.052","238.755","399.867","405.561","483.224"
"model_summary","se_elpd","64.675","66.816","66.751","66.707","66.704"
"model_summary","waic","46606.47","43934.217","43633.76","43637.202","43665.786"
"fixed","BFI_extra","—","0.056 [-0.011, 0.124]","0.068 [-0.001, 0.138]","0.061 [-0.01, 0.134]","0.066 [-0.009, 0.142]"
"fixed","BFI_extra:Familiarity","—","—","—","—","0.022 [-0.059, 0.107]"
"fixed","BFI_extra:Familiarity:expressibility_z","—","—","—","—","0 [-0.032, 0.031]"
"fixed","BFI_extra:expressibility_z","—","—","—","—","0.031 [-0.001, 0.064]"
"fixed","Familiarity","—","-0.053 [-0.131, 0.022]","-0.043 [-0.128, 0.04]","-0.045 [-0.127, 0.037]","-0.038 [-0.123, 0.046]"
"fixed","Familiarity:expressibility_z","—","—","—","—","0.022 [-0.01, 0.054]"
"fixed","Intercept","5.494 [5.472, 5.516] *","5.471 [5.368, 5.572] *","5.468 [5.367, 5.57] *","5.466 [5.366, 5.568] *","5.476 [5.373, 5.577] *"
"fixed","TrialNumber_c","—","0.001 [0.001, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002] *"
"fixed","correction2M1","0.164 [0.115, 0.214] *","0.116 [0.078, 0.155] *","0.113 [0.077, 0.148] *","0.112 [0.075, 0.148] *","0.105 [0.068, 0.143] *"
"fixed","correction2M1:BFI_extra","—","—","—","—","0.006 [-0.03, 0.042]"
"fixed","correction2M1:BFI_extra:Familiarity","—","—","—","—","0.026 [-0.01, 0.063]"
"fixed","correction2M1:BFI_extra:Familiarity:expressibility_z","—","—","—","—","0.001 [-0.042, 0.045]"
"fixed","correction2M1:BFI_extra:expressibility_z","—","—","—","—","0.028 [-0.017, 0.074]"
"fixed","correction2M1:Familiarity","—","—","—","—","0.049 [0.014, 0.084] *"
"fixed","correction2M1:Familiarity:expressibility_z","—","—","—","—","0.04 [-0.005, 0.085]"
"fixed","correction2M1:expressibility_z","—","—","—","—","0.005 [-0.044, 0.054]"
"fixed","correction2M1:modality1","—","—","—","—","0.025 [-0.045, 0.096]"
"fixed","correction2M1:modality1:BFI_extra","—","—","—","—","-0.032 [-0.1, 0.036]"
"fixed","correction2M1:modality1:BFI_extra:Familiarity","—","—","—","—","-0.043 [-0.11, 0.024]"
"fixed","correction2M1:modality1:BFI_extra:Familiarity:expressibility_z","—","—","—","—","0.008 [-0.079, 0.092]"
"fixed","correction2M1:modality1:BFI_extra:expressibility_z","—","—","—","—","-0.026 [-0.118, 0.064]"
"fixed","correction2M1:modality1:Familiarity","—","—","—","—","-0.021 [-0.088, 0.046]"
"fixed","correction2M1:modality1:Familiarity:expressibility_z","—","—","—","—","-0.075 [-0.164, 0.014]"
"fixed","correction2M1:modality1:expressibility_z","—","—","—","—","-0.013 [-0.11, 0.084]"
"fixed","correction3M2","0.107 [0.049, 0.167] *","0.071 [0.029, 0.113] *","0.076 [0.036, 0.117] *","0.074 [0.034, 0.114] *","0.096 [0.052, 0.141] *"
"fixed","correction3M2:BFI_extra","—","—","—","—","0.01 [-0.034, 0.054]"
"fixed","correction3M2:BFI_extra:Familiarity","—","—","—","—","-0.012 [-0.056, 0.031]"
"fixed","correction3M2:BFI_extra:Familiarity:expressibility_z","—","—","—","—","0.032 [-0.027, 0.09]"
"fixed","correction3M2:BFI_extra:expressibility_z","—","—","—","—","0.007 [-0.053, 0.067]"
"fixed","correction3M2:Familiarity","—","—","—","—","-0.039 [-0.083, 0.005]"
"fixed","correction3M2:Familiarity:expressibility_z","—","—","—","—","0.023 [-0.035, 0.081]"
"fixed","correction3M2:expressibility_z","—","—","—","—","0.045 [-0.016, 0.105]"
"fixed","correction3M2:modality1","—","—","—","—","-0.064 [-0.154, 0.025]"
"fixed","correction3M2:modality1:BFI_extra","—","—","—","—","0.032 [-0.056, 0.119]"
"fixed","correction3M2:modality1:BFI_extra:Familiarity","—","—","—","—","0.035 [-0.051, 0.121]"
"fixed","correction3M2:modality1:BFI_extra:Familiarity:expressibility_z","—","—","—","—","-0.019 [-0.137, 0.099]"
"fixed","correction3M2:modality1:BFI_extra:expressibility_z","—","—","—","—","0.02 [-0.099, 0.139]"
"fixed","correction3M2:modality1:Familiarity","—","—","—","—","-0.016 [-0.1, 0.068]"
"fixed","correction3M2:modality1:Familiarity:expressibility_z","—","—","—","—","0.004 [-0.11, 0.119]"
"fixed","correction3M2:modality1:expressibility_z","—","—","—","—","0 [-0.126, 0.124]"
"fixed","expressibility_z","—","-0.093 [-0.125, -0.061] *","-0.094 [-0.148, -0.04] *","-0.088 [-0.141, -0.036] *","-0.11 [-0.169, -0.052] *"
"fixed","modality1","—","0.156 [0.125, 0.188] *","0.16 [0.097, 0.223] *","0.163 [0.101, 0.225] *","0.144 [0.078, 0.208] *"
"fixed","modality1:BFI_extra","—","—","—","—","0.009 [-0.041, 0.06]"
"fixed","modality1:BFI_extra:Familiarity","—","—","—","—","0.002 [-0.047, 0.052]"
"fixed","modality1:BFI_extra:Familiarity:expressibility_z","—","—","—","—","-0.029 [-0.081, 0.022]"
"fixed","modality1:BFI_extra:expressibility_z","—","—","—","—","-0.012 [-0.064, 0.041]"
"fixed","modality1:Familiarity","—","—","—","—","-0.064 [-0.113, -0.014] *"
"fixed","modality1:Familiarity:expressibility_z","—","—","—","—","-0.038 [-0.089, 0.015]"
"fixed","modality1:expressibility_z","—","—","—","—","0.095 [0.011, 0.179] *"
"random_sd","sd() | residual__","0.658 [0.643, 0.674]","0.439 [0.428, 0.45]","0.41 [0.4, 0.421]","0.41 [0.4, 0.421]","0.406 [0.396, 0.417]"
"random_sd","sd(BFI_extra) | SessionID","—","—","0.054 [0.002, 0.151]","0.064 [0.003, 0.169]","0.066 [0.003, 0.18]"
"random_sd","sd(Familiarity) | SessionID","—","—","0.111 [0.01, 0.22]","0.098 [0.005, 0.217]","0.101 [0.006, 0.222]"
"random_sd","sd(Familiarity:BFI_extra) | SessionID","—","—","—","—","0.063 [0.003, 0.175]"
"random_sd","sd(Intercept) | SessionID","—","0.199 [0.049, 0.306]","0.152 [0.017, 0.272]","0.165 [0.018, 0.289]","0.155 [0.013, 0.283]"
"random_sd","sd(Intercept) | concept","—","0.281 [0.239, 0.329]","0.28 [0.238, 0.33]","0.282 [0.24, 0.331]","0.282 [0.238, 0.333]"
"random_sd","sd(Intercept) | pcn_ID","—","0.34 [0.279, 0.41]","0.339 [0.277, 0.407]","0.332 [0.271, 0.401]","0.335 [0.271, 0.405]"
"random_sd","sd(correction2M1) | concept","—","0.035 [0.002, 0.088]","0.036 [0.002, 0.086]","0.039 [0.002, 0.091]","0.04 [0.002, 0.092]"
"random_sd","sd(correction2M1) | pcn_ID","—","0.08 [0.017, 0.132]","0.058 [0.005, 0.112]","0.064 [0.006, 0.118]","0.064 [0.006, 0.118]"
"random_sd","sd(correction2M1:expressibility_z) | pcn_ID","—","—","—","—","0.032 [0.001, 0.085]"
"random_sd","sd(correction2M1:modality1) | concept","—","—","—","—","0.067 [0.003, 0.164]"
"random_sd","sd(correction2M1:modality1) | pcn_ID","—","—","—","—","0.052 [0.002, 0.137]"
"random_sd","sd(correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.071 [0.003, 0.183]"
"random_sd","sd(correction3M2) | concept","—","0.034 [0.002, 0.082]","0.037 [0.002, 0.086]","0.029 [0.001, 0.079]","0.03 [0.001, 0.081]"
"random_sd","sd(correction3M2) | pcn_ID","—","0.047 [0.002, 0.111]","0.047 [0.002, 0.106]","0.046 [0.002, 0.108]","0.046 [0.002, 0.109]"
"random_sd","sd(correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.034 [0.001, 0.093]"
"random_sd","sd(correction3M2:modality1) | concept","—","—","—","—","0.091 [0.004, 0.206]"
"random_sd","sd(correction3M2:modality1) | pcn_ID","—","—","—","—","0.054 [0.002, 0.147]"
"random_sd","sd(correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.087 [0.004, 0.218]"
"random_sd","sd(expressibility_z) | pcn_ID","—","—","0.115 [0.089, 0.143]","0.117 [0.091, 0.145]","0.115 [0.088, 0.145]"
"random_sd","sd(modality1) | concept","—","—","0.18 [0.136, 0.228]","0.181 [0.138, 0.229]","0.176 [0.133, 0.225]"
"random_sd","sd(modality1) | pcn_ID","—","—","0.205 [0.162, 0.251]","0.205 [0.163, 0.25]","0.2 [0.158, 0.247]"
"random_sd","sd(modality1:expressibility_z) | pcn_ID","—","—","—","—","0.097 [0.011, 0.174]"
"random_cor","cor(Familiarity x BFI_extra) | SessionID","—","—","0.027 [-0.590, 0.631]","—","—"
"random_cor","cor(Intercept x BFI_extra) | SessionID","—","—","0.059 [-0.549, 0.636]","—","—"
"random_cor","cor(Intercept x Familiarity) | SessionID","—","—","-0.250 [-0.741, 0.383]","—","—"
"random_cor","cor(Intercept x correction2M1) | concept","—","-0.016 [-0.535, 0.522]","-0.064 [-0.563, 0.463]","—","—"
"random_cor","cor(Intercept x correction2M1) | pcn_ID","—","0.279 [-0.156, 0.644]","0.144 [-0.332, 0.565]","—","—"
"random_cor","cor(Intercept x correction3M2) | concept","—","-0.244 [-0.713, 0.378]","-0.283 [-0.733, 0.336]","—","—"
"random_cor","cor(Intercept x correction3M2) | pcn_ID","—","0.097 [-0.478, 0.605]","0.029 [-0.468, 0.508]","—","—"
"random_cor","cor(Intercept x expressibility_z) | pcn_ID","—","—","-0.321 [-0.552, -0.068] *","—","—"
"random_cor","cor(Intercept x modality1) | concept","—","—","0.176 [-0.104, 0.440]","—","—"
"random_cor","cor(Intercept x modality1) | pcn_ID","—","—","0.110 [-0.143, 0.355]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | concept","—","-0.028 [-0.612, 0.572]","-0.009 [-0.575, 0.566]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | pcn_ID","—","0.159 [-0.468, 0.694]","0.090 [-0.465, 0.608]","—","—"
"random_cor","cor(correction2M1 x expressibility_z) | pcn_ID","—","—","-0.176 [-0.616, 0.314]","—","—"
"random_cor","cor(correction2M1 x modality1) | concept","—","—","0.104 [-0.452, 0.603]","—","—"
"random_cor","cor(correction2M1 x modality1) | pcn_ID","—","—","0.154 [-0.332, 0.583]","—","—"
"random_cor","cor(correction3M2 x expressibility_z) | pcn_ID","—","—","-0.064 [-0.544, 0.454]","—","—"
"random_cor","cor(correction3M2 x modality1) | concept","—","—","-0.013 [-0.536, 0.518]","—","—"
"random_cor","cor(correction3M2 x modality1) | pcn_ID","—","—","0.231 [-0.364, 0.685]","—","—"
"random_cor","cor(modality1 x expressibility_z) | pcn_ID","—","—","-0.019 [-0.297, 0.260]","—","—"
