ID,trial_order,word,answer,exp,English
14,53,geur,ruiken,2,odor
14,54,geur,parfum,2,odor
14,55,regen,regen,2,rain
14,56,staart,staart,2,tail
14,57,rennen,rennen,2,to run
14,58,water,drinken,2,water
14,59,water,schenken,2,water
14,60,water,drank,2,water
14,61,geheim,fluisteren,2,secret
14,62,geheim,stilte,2,secret
14,63,geheim,stil,2,secret
14,64,juichen,winnen,2,to cheer
14,65,juichen,juichen,2,to cheer
14,66,heet,blazen,2,hot
14,67,heet,moe,2,hot
14,68,heet,afkeer,2,hot
14,69,niet,nee,2,not
14,70,niet,stoppen,2,not
14,71,niet,stop,2,not
14,72,zout,zagen,2,salt
14,73,zout,eten,2,salt
14,74,zout,spugen,2,salt
14,75,dik,overgeven,2,thick
14,76,dik,springen,2,thick
14,77,dik,wachten,2,thick
14,78,huilen,huilen,2,to cry
14,78,huilen,huilen,2,to weep
14,79,vechten,vechten,2,to fight
14,80,gooien,snel,2,to throw
14,81,gooien,vliegtuig,2,to throw
14,82,gooien,vliegen,2,to throw
14,83,glimlach,piep,2,smile
14,84,glimlach,denken,2,smile
14,85,glimlach,weten,2,smile
14,86,zingen,zinge,2,to sing
14,87,ik,idee,2,I
14,88,ik,vinden,2,I
14,89,ik,praten,2,I
14,90,zoemen,bij,2,buzz
14,91,zoemen,zoemen,2,buzz
14,92,vuur,kraken,2,fire
14,93,vuur,malen,2,fire
14,94,vuur,kruiden,2,fire
14,95,luidruchtig,gejuich,2,noisy
14,95,luidruchtig,gejuich,2,loud
14,96,luidruchtig,schreeuwen,2,noisy
14,96,luidruchtig,schreeuwen,2,loud
14,97,luidruchtig,joelen,2,noisy
14,97,luidruchtig,joelen,2,loud
14,98,misschien,mening,2,maybe
14,99,misschien,nadenken,2,maybe
14,100,misschien,overwegen,2,maybe
14,101,ademen,hijgen,2,to breathe
14,102,ademen,ademen,2,to breathe
14,103,geven,denken,2,to give
14,104,geven,snappen,2,to give
14,105,geven,instemmen,2,to give
15,0,zingen,zingen,2,to sing
15,1,telefoon,telefoon,2,telephone
15,2,groot,lang,2,big
15,3,groot,groot,2,big
15,4,koud,koud,2,cold
15,5,luidruchtig,zacht,2,noisy
15,5,luidruchtig,zacht,2,loud
15,6,luidruchtig,luid,2,noisy
15,6,luidruchtig,luid,2,loud
15,7,luidruchtig,hard,2,noisy
15,7,luidruchtig,hard,2,loud
15,8,misschien,twijfelen,2,maybe
15,9,misschien,misschien,2,maybe
15,10,kruipen,kruipen,2,to crawl
15,11,jagen,soldaat,2,to hunt
15,12,jagen,speurhond,2,to hunt
15,13,jagen,overwinning,2,to hunt
15,14,lachen,lachen,2,to laugh
15,15,fiets,fietsen,2,bicycle
15,16,fiets,bellen,2,bicycle
15,17,fiets,trappen,2,bicycle
15,18,juichen,juichenlshift,2,to cheer
15,19,vlieg,bij,2,fly
15,20,vlieg,mug,2,fly
15,21,vlieg,vliegen,2,fly
15,22,verdrietig,huilen,2,sad
15,23,verdrietig,verdriet,2,sad
15,24,stil,stilte,2,silent
15,25,stil,stil,2,silent
15,26,staart,staart,2,tail
15,27,ademen,ademen,2,to breathe
15,28,huilen,verdriet,2,to cry
15,28,huilen,verdriet,2,to weep
15,29,huilen,huilen,2,to cry
15,29,huilen,huilen,2,to weep
15,30,gooien,gooien,2,to throw
15,31,bal,stuiteren,2,ball
15,32,bal,basketballen,2,ball
15,33,bal,vangen,2,ball
15,34,geheim,fluisteren,2,secret
15,35,geheim,verbaast,2,secret
15,36,geheim,afkeuren,2,secret
15,37,kat,kat,2,cat
15,38,blij,vrolijk,2,happy
15,39,blij,neurien,2,happy
15,40,blij,blij,2,happy
15,41,hoorn,trompet,2,horn
15,42,hoorn,orkest,2,horn
