Time,TrialID,Head_speed,LKnee_speed,RShoulder_speed,RHip_speed,RHeel_speed,LElbow_speed,RKnee_speed,RWrist_speed,RWrist_vert_vel,LWrist_speed,LWrist_vert_vel,LAnkle_speed,LHip_speed,RElbow_speed,LShoulder_speed,LHeel_speed,RAnkle_speed,Head_speed_movement,Head_speed_event,LKnee_speed_movement,LKnee_speed_event,RShoulder_speed_movement,RShoulder_speed_event,RHip_speed_movement,RHip_speed_event,RHeel_speed_movement,RHeel_speed_event,LElbow_speed_movement,LElbow_speed_event,RKnee_speed_movement,RKnee_speed_event,RWrist_speed_movement,RWrist_speed_event,LWrist_speed_movement,LWrist_speed_event,LAnkle_speed_movement,LAnkle_speed_event,LHip_speed_movement,LHip_speed_event,RElbow_speed_movement,RElbow_speed_event,LShoulder_speed_movement,LShoulder_speed_event,LHeel_speed_movement,LHeel_speed_event,RAnkle_speed_movement,RAnkle_speed_event,RWrist_vert_vel_movement,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement,LWrist_vert_vel_movement_event
1166.6666666666674,0_1_53_p1,10.258660836292268,22.22139026771793,14.736980240977026,12.737163539895416,32.10053709776301,42.95347507386645,21.20118832372036,73.38767671440088,56.61732111144633,98.67632134042792,84.0493318998722,16.937125029459658,14.078524274689348,27.357530987526108,16.596498245907163,10.666013389452669,10.158942526974103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1183.333333333334,0_1_53_p1,9.923055288239858,22.88225894904905,15.176582129921377,13.289142319859634,31.171620180527228,44.56540655911411,21.29249227823784,69.68830725920327,54.07276012457468,96.88385005533056,82.59549548297281,17.55731799772443,14.359052322157018,28.443228633529667,17.36116747802952,10.719376760174088,10.126513448816786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1200.000000000001,0_1_53_p1,9.473157679338808,22.632272867001472,15.527127177092078,13.511933184611776,29.62217922906812,45.47022277690574,21.01706054300719,65.53472537218971,50.91599417917693,94.1933815839176,80.46154809151928,17.98756647074162,14.478491517703851,29.54743895586529,17.94619330598867,10.653216614167713,9.930060337582502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1216.6666666666672,0_1_53_p1,9.023677982135204,21.89485766502303,15.87535275942102,13.362543336525814,27.8338782278632,45.4425253650799,20.490998183704985,61.03223056417708,47.316971365797535,90.34646968155582,77.50594926804783,18.20769225176602,14.443681604298252,30.71633446223141,18.316579796533123,10.504750989015326,9.74749393423514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1233.333333333334,0_1_53_p1,8.648321021315184,21.17550949444932,16.219312007628677,12.896118043697662,26.113635320735305,44.571816150346,19.9008132217282,56.39553298202433,43.42568133035115,85.47612162710683,73.73519530898817,17.956883110320838,14.25169915880928,32.00239252715899,18.43853713612916,10.320504778877613,9.771453643394668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1250.0000000000005,0_1_53_p1,8.283311319959413,20.681610129466605,16.463755149187097,12.57809279795697,24.548739262015303,43.133126441469535,19.29119264712255,51.976383030210044,39.462783630547015,79.99109849242039,69.36145046744323,17.134327414986345,14.055910748534773,33.453351409762014,18.264392172328968,10.23018750268024,9.974308522938871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1266.666666666667,0_1_53_p1,7.882161944751257,20.284006557885903,16.451272702277972,12.386133823231,23.175384685693608,41.29368344357562,18.57365247169688,48.1446113706528,35.757633434019084,74.29199134611761,64.71236930481054,16.477668710927876,13.877768463076904,34.97947496294399,17.738338080490067,10.241327046998055,10.199722277595605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1283.3333333333337,0_1_53_p1,7.488744551236893,19.74695261065781,16.099390739171678,12.214569367315123,22.03244935223454,39.11816851533231,17.70475224879439,45.04906437332876,32.55941496005641,68.6333061103297,60.07808415493888,15.90004747504906,13.63693113737446,35.93549119968305,16.878323558126816,10.246362200194906,10.333008131858024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1300.0000000000005,0_1_53_p1,7.090747701986809,18.897918835617386,15.495906064121677,11.994363088145857,21.10260150370725,36.69143663050036,16.733134340357314,42.42903378701543,29.82701911485521,63.12009957555304,55.59969059826917,15.291207039279042,13.300271166052676,35.74741389192558,15.819603496608186,10.202738884366436,10.373060730523028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1316.666666666667,0_1_53_p1,6.7446885671357695,17.780391162197176,14.74536763426895,11.70917688077211,20.28802333478915,34.11541648726231,15.670902700874358,39.71113378694158,27.309858252637955,57.77494615440736,51.28610099029007,14.58651524027762,12.863738943831263,34.403682499867124,14.71740935160409,10.138161602035126,10.364421149985745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1333.3333333333337,0_1_53_p1,6.491031444477055,16.533599997778868,13.961586873355705,11.381937708441711,19.53291024761903,31.51499504757431,14.453695510505256,36.58735171618385,24.806851264394624,52.69265284338661,47.134911999477296,13.783540685404724,12.34023721428225,32.29226899673175,13.64284923602064,10.051079321246585,10.3399691672888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1350.0,0_1_53_p1,6.320655389046038,15.201639064094891,13.219228146105136,11.049565074186065,18.88287629120237,29.00569721620745,13.00564465145738,33.27303983010366,22.2635262782671,48.04565999267374,43.19653639596784,12.95718730674091,11.802537496769196,29.927629605862343,12.59969103431071,9.899166173671002,10.30964511305509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
