Time,TrialID,arms,lower_body,upper_body,head_mov,movement_in_trial
1366.6666666666667,0_2_1_p0,movement,movement,movement,movement,movement
1383.3333333333333,0_2_1_p0,movement,movement,movement,movement,movement
1400.0,0_2_1_p0,movement,movement,movement,movement,movement
1416.6666666666663,0_2_1_p0,movement,movement,movement,movement,movement
1433.333333333333,0_2_1_p0,movement,movement,movement,movement,movement
1449.9999999999995,0_2_1_p0,movement,movement,movement,movement,movement
1466.6666666666663,0_2_1_p0,movement,movement,movement,movement,movement
1483.333333333333,0_2_1_p0,movement,movement,movement,movement,movement
1499.9999999999995,0_2_1_p0,movement,movement,movement,movement,movement
1516.666666666666,0_2_1_p0,movement,movement,movement,movement,movement
1533.3333333333328,0_2_1_p0,movement,movement,movement,movement,movement
1549.999999999999,0_2_1_p0,movement,movement,movement,movement,movement
1566.666666666666,0_2_1_p0,movement,movement,movement,movement,movement
1583.3333333333326,0_2_1_p0,movement,movement,movement,movement,movement
1599.999999999999,0_2_1_p0,movement,movement,movement,movement,movement
1616.6666666666658,0_2_1_p0,movement,movement,movement,movement,movement
1633.3333333333323,0_2_1_p0,movement,movement,movement,movement,movement
1649.999999999999,0_2_1_p0,movement,movement,movement,movement,movement
1666.6666666666656,0_2_1_p0,movement,movement,movement,movement,movement
1683.3333333333323,0_2_1_p0,movement,movement,movement,movement,movement
1699.9999999999989,0_2_1_p0,movement,movement,movement,movement,movement
1716.6666666666656,0_2_1_p0,movement,movement,movement,movement,movement
1733.333333333332,0_2_1_p0,movement,movement,movement,movement,movement
1749.9999999999989,0_2_1_p0,movement,movement,movement,movement,movement
1766.6666666666654,0_2_1_p0,movement,movement,movement,movement,movement
1783.333333333332,0_2_1_p0,movement,movement,movement,movement,movement
1799.9999999999984,0_2_1_p0,movement,movement,movement,movement,movement
1816.6666666666647,0_2_1_p0,movement,movement,movement,movement,movement
1833.333333333332,0_2_1_p0,movement,movement,movement,movement,movement
1849.9999999999984,0_2_1_p0,movement,movement,movement,movement,movement
1866.666666666665,0_2_1_p0,movement,movement,movement,movement,movement
1883.333333333332,0_2_1_p0,movement,movement,movement,movement,movement
1899.999999999998,0_2_1_p0,movement,movement,movement,movement,movement
1916.6666666666647,0_2_1_p0,movement,movement,movement,movement,movement
1933.333333333332,0_2_1_p0,movement,movement,movement,movement,movement
