Time,TrialID,LShoulder_speed,RElbow_speed,LWrist_speed,LWrist_vert_vel,RShoulder_speed,RHip_speed,LKnee_speed,Head_speed,RWrist_speed,RWrist_vert_vel,LElbow_speed,RHeel_speed,RKnee_speed,LHeel_speed,LHip_speed,LShoulder_speed_movement,LShoulder_speed_event,RElbow_speed_movement,LWrist_speed_movement,LWrist_speed_event,RShoulder_speed_movement,RShoulder_speed_event,RHip_speed_movement,RHip_speed_event,LKnee_speed_movement,LKnee_speed_event,Head_speed_movement,Head_speed_event,RWrist_speed_movement,RWrist_speed_event,LElbow_speed_movement,RHeel_speed_movement,RHeel_speed_event,RKnee_speed_movement,RKnee_speed_event,LHeel_speed_movement,LHeel_speed_event,LHip_speed_movement,LHip_speed_event,LWrist_vert_vel_movement,LWrist_vert_vel_movement_event,RWrist_vert_vel_movement,RWrist_vert_vel_movement_event
1666.6666666666656,0_2_74_p0,1.4951396534231107,1.9662395341434933,1.6596013491764965,-0.1706195231409712,2.0493023941608395,2.9199633065509705,2.5743676228462182,3.54038310606773,4.427759387493375,0.9785383159912469,1.570452379350577,8.706561490222192,1.4152174152863215,0.5250639254621576,4.85703108814229,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1683.3333333333323,0_2_74_p0,1.5998544588780443,1.8157091760741093,1.6479554376470549,-0.1159275220159375,2.110474764916494,2.858924918025345,2.5757183224836475,3.501451363414068,4.220916797528841,0.8438221772318875,1.7179541437465962,3.9281663485640888,1.4100739431263394,0.5225729378692401,2.978086524041234,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1699.9999999999989,0_2_74_p0,1.6678926097847824,1.723634015466238,1.494364585965955,-0.0505856540572723,2.1720934726576853,2.798011394615976,2.573334158194691,3.3009691358667728,3.956979424525145,0.69861142112285,1.8506668267974544,0.4601893755339777,1.3900862066568764,0.5086206258991082,1.7088292243957888,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1716.6666666666656,0_2_74_p0,1.7159998511946597,1.6551415063100103,1.2855109783569596,0.0484117275863128,2.2177994804674843,2.746937006868894,2.562421278366449,2.951925741288368,3.712428365428262,0.5918178486879258,1.9798189690913,1.8200889715243893,1.3668674191629118,0.4847492954589317,1.895319278058181,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1733.333333333332,0_2_74_p0,1.7781821702279694,1.5666762463550388,1.1122380944556174,0.1702094334613381,2.2546610290550104,2.7150773981695715,2.544905284923941,2.541304865272376,3.5301668297963484,0.5494696816587363,2.110184643064938,0.5843611380426453,1.343960933344191,0.4666414567276261,2.50837330502928,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1749.9999999999989,0_2_74_p0,1.8612695381239603,1.4116128498365348,1.0150351410530314,0.2879538338390268,2.2723121909825896,2.703324667204687,2.528561096860401,2.140050939514355,3.4181411719898507,0.5628621477625884,2.2283961868021778,1.7982825274174614,1.3351227852897212,0.4696976495179525,3.425912850024936,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1766.6666666666654,0_2_74_p0,1.9458792315559683,1.225115577821954,0.972899969998564,0.3795143468820194,2.2487455084781693,2.702733961267554,2.4995440290523128,1.7904019958354458,3.355261123774484,0.5788291030453095,2.305574045650624,2.904321458923526,1.3613424347707157,0.4929015677147165,4.356396611151443,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1783.333333333332,0_2_74_p0,2.0119919081692723,1.0652971769571715,1.0148787658069494,0.4184972270576576,2.186594759288279,2.6978497563922472,2.452145221415934,1.5405153247949657,3.313800763547013,0.5471183253173151,2.32857866765692,1.847696119667372,1.3866348949363827,0.509216427485157,4.582407275022819,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1799.9999999999984,0_2_74_p0,2.0417103549984867,0.9294372576727934,1.1831772473128432,0.4038585052012431,2.118203433937199,2.687784446383352,2.408978722069425,1.4024937017295538,3.291652729316154,0.4714939339336308,2.317757845654864,1.6446946075752642,1.384682165968762,0.511581125991759,3.920379868006188,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1816.6666666666647,0_2_74_p0,2.0522506834541074,0.8225666245671664,1.398145293025681,0.3966637264122435,2.073876588059045,2.698543980319082,2.389665186570493,1.330126675381036,3.2582555095022,0.3787520702049117,2.294778238281133,4.850965292509044,1.3704941589059427,0.5128013402316165,3.127229985898668,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1833.333333333332,0_2_74_p0,2.0719950250763133,0.7873729001369216,1.5711918040535735,0.4483554414333934,2.055892481872428,2.7397160538284897,2.3848776433522803,1.281555167899506,3.120594612910207,0.2714048299428959,2.289778412567954,7.122417220147264,1.374858524577043,0.5234990063864199,2.8681337704706134,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1849.9999999999984,0_2_74_p0,2.0885003504431268,0.7987818412463293,1.682665944970207,0.5219609205974519,2.0479363656319176,2.751746252028939,2.373491176157301,1.2698898066163515,2.851772057192532,0.138607213990895,2.3130519331868302,8.476211641387716,1.4043401946858134,0.5447774754611808,2.876352311210093,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
