Time,TrialID,RWrist_speed_event,RHip_speed_event,RAnkle_speed_event,RBigToe_speed_event,LBigToe_speed_event,LHeel_speed_event,RKnee_speed_event,RElbow_speed_event,Head_speed_event,LKnee_speed_event,LElbow_speed_event,LWrist_speed_event,Neck_speed_event,LShoulder_speed_event,LHip_speed_event,RSmallToe_speed_event,RHeel_speed_event,LSmallToe_speed_event,LAnkle_speed_event,RShoulder_speed_event,Nose_speed_event,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement_event
800.0000000000008,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
816.6666666666675,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
833.3333333333343,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
850.000000000001,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
866.6666666666677,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
883.3333333333344,0_2_34_p1,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
900.0000000000011,0_2_34_p1,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,nomovement
916.666666666668,0_2_34_p1,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,nomovement
933.3333333333346,0_2_34_p1,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,movement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,nomovement
950.0000000000013,0_2_34_p1,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,movement,movement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,nomovement
966.666666666668,0_2_34_p1,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,nomovement
983.3333333333348,0_2_34_p1,movement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,nomovement
1000.0000000000013,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,nomovement
1016.666666666668,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,nomovement
1033.3333333333344,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,movement,nomovement
1050.0000000000011,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement,nomovement
1066.6666666666677,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement,nomovement
1083.3333333333344,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement,nomovement
1100.000000000001,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,nomovement,movement,nomovement,movement,movement,nomovement
