Time,TrialID,lower_body,head_mov,arms,upper_body,movement_in_trial
1999.9999999999973,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2016.6666666666645,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2033.333333333331,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2049.9999999999977,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2066.666666666664,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2083.3333333333308,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2099.999999999997,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2116.666666666664,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2133.3333333333303,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2149.999999999997,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2166.666666666664,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2183.3333333333303,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2199.9999999999973,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2216.666666666664,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2233.3333333333303,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2249.999999999997,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2266.666666666664,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2283.3333333333303,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2299.999999999997,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2316.666666666664,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2333.33333333333,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2349.9999999999964,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2366.666666666664,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2383.33333333333,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2399.9999999999964,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2416.666666666663,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2433.3333333333294,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2449.9999999999964,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2466.666666666663,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2483.3333333333294,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2499.999999999996,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2516.6666666666624,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2533.3333333333294,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
2549.999999999996,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
