FILE	f0min	f0max	f0sd	key	span
0_2_trial_3_Mic_nominal_srate48000_p0_vrouw_combinatie_c1	188	248	19.381	217	0.404
0_2_trial_41_Mic_nominal_srate48000_p0_vogel_gebaren_c0	157	197	13.037	177	0.326
0_2_trial_42_Mic_nominal_srate48000_p0_kruipen_gebaren_c0	128	314	39.339	165	1.290
0_2_trial_43_Mic_nominal_srate48000_p0_water_gebaren_c0	64	235	38.813	132	1.881
0_2_trial_44_Mic_nominal_srate48000_p0_water_gebaren_c1	48	245	92.749	237	2.358
0_2_trial_45_Mic_nominal_srate48000_p0_water_gebaren_c2	111	204	22.661	144	0.877
0_2_trial_46_Mic_nominal_srate48000_p0_vuur_gebaren_c0	58	58	0.101	58	0.005
0_2_trial_47_Mic_nominal_srate48000_p0_goed_gebaren_c0	47	142	38.955	125	1.594
0_2_trial_48_Mic_nominal_srate48000_p0_goed_gebaren_c1	63	216	44.637	114	1.771
0_2_trial_49_Mic_nominal_srate48000_p0_horen_gebaren_c0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_4_Mic_nominal_srate48000_p0_vrouw_combinatie_c2	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_50_Mic_nominal_srate48000_p0_ver_gebaren_c0	76	260	65.602	160	1.771
0_2_trial_51_Mic_nominal_srate48000_p0_ver_gebaren_c1	80	244	37.664	143	1.608
0_2_trial_52_Mic_nominal_srate48000_p0_ver_gebaren_c2	121	1000	422.633	1000	3.044
0_2_trial_57_Mic_nominal_srate48000_p1_blazen_gebaren_c0	101	261	26.005	151	1.362
0_2_trial_58_Mic_nominal_srate48000_p1_geven_gebaren_c0	27	27	0.069	27	0.010
0_2_trial_59_Mic_nominal_srate48000_p1_geven_gebaren_c1	37	169	60.139	145	2.181
0_2_trial_5_Mic_nominal_srate48000_p0_verbranden_combinatie_c0	286	398	30.944	361	0.479
0_2_trial_60_Mic_nominal_srate48000_p1_kat_gebaren_c0	39	167	59.831	158	2.113
0_2_trial_61_Mic_nominal_srate48000_p1_lachen_gebaren_c0	123	174	13.403	147	0.501
0_2_trial_62_Mic_nominal_srate48000_p1_zoet_gebaren_c0	135	254	27.444	156	0.907
0_2_trial_63_Mic_nominal_srate48000_p1_zoet_gebaren_c1	66	211	34.589	139	1.667
0_2_trial_64_Mic_nominal_srate48000_p1_zoet_gebaren_c2	82	253	49.228	141	1.637
0_2_trial_65_Mic_nominal_srate48000_p1_slapen_gebaren_c0	40	196	42.964	149	2.290
0_2_trial_66_Mic_nominal_srate48000_p1_berg_gebaren_c0	52	201	39.822	148	1.954
0_2_trial_6_Mic_nominal_srate48000_p0_verbranden_combinatie_c1	184	350	47.285	260	0.925
0_2_trial_73_Mic_nominal_srate48000_p0_geur_geluiden_c0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_74_Mic_nominal_srate48000_p0_geur_geluiden_c1	121	162	13.997	141	0.426
0_2_trial_75_Mic_nominal_srate48000_p0_geur_geluiden_c2	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_76_Mic_nominal_srate48000_p0_vlieg_geluiden_c0	281	646	63.558	382	1.199
0_2_trial_77_Mic_nominal_srate48000_p0_vlieg_geluiden_c1	342	435	21.887	388	0.347
0_2_trial_78_Mic_nominal_srate48000_p0_vlieg_geluiden_c2	656	1461	254.119	790	1.156
0_2_trial_79_Mic_nominal_srate48000_p0_scherp_geluiden_c0	195	329	29.640	242	0.755
0_2_trial_7_Mic_nominal_srate48000_p0_verbranden_combinatie_c2	210	569	68.066	279	1.436
0_2_trial_80_Mic_nominal_srate48000_p0_scherp_geluiden_c1	200	358	39.983	291	0.837
0_2_trial_81_Mic_nominal_srate48000_p0_scherp_geluiden_c2	183	332	44.443	234	0.856
0_2_trial_82_Mic_nominal_srate48000_p0_staart_geluiden_c0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_83_Mic_nominal_srate48000_p0_staart_geluiden_c1	91	258	58.548	222	1.494
0_2_trial_84_Mic_nominal_srate48000_p0_staart_geluiden_c2	565	634	24.332	602	0.165
0_2_trial_85_Mic_nominal_srate48000_p0_vallen_geluiden_c0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_86_Mic_nominal_srate48000_p0_piepen_geluiden_c0	469	574	20.793	512	0.291
0_2_trial_87_Mic_nominal_srate48000_p0_piepen_geluiden_c1	473	573	14.876	527	0.279
0_2_trial_88_Mic_nominal_srate48000_p0_piepen_geluiden_c2	454	586	37.541	531	0.366
0_2_trial_89_Mic_nominal_srate48000_p0_jagen_geluiden_c0	222	513	51.012	272	1.207
0_2_trial_8_Mic_nominal_srate48000_p0_ik_combinatie_c0	31	50	3.261	47	0.697
0_2_trial_90_Mic_nominal_srate48000_p0_jagen_geluiden_c1	205	416	43.143	321	1.021
0_2_trial_91_Mic_nominal_srate48000_p0_jagen_geluiden_c2	277	489	36.787	353	0.819
0_2_trial_98_Mic_nominal_srate48000_p1_zwaar_geluiden_c0	176	474	66.642	295	1.431
0_2_trial_99_Mic_nominal_srate48000_p1_zwaar_geluiden_c1	196	423	58.194	324	1.113
0_2_trial_9_Mic_nominal_srate48000_p0_kauwen_combinatie_c0	860	860	--undefined--	860	0
