TrialID,Body_nComp_80,Body_slope_80,Body_nComp_95,Body_slope_95,Arm_nComp_80,Arm_slope_80,Arm_nComp_95,Arm_slope_95
0_2_2_p0,7,0.0867512951428931,13,0.053640311063236835,6,0.11265693382982833,10,0.07532249131823338
0_2_30_p1,4,0.16244371381459669,8,0.08760333841339192,3,0.14992350990925046,6,0.08805862574778886
0_2_31_p1,5,0.12791446747286855,10,0.07157177284051243,3,0.14440731926458344,5,0.10263626559688205
0_2_32_p1,6,0.11930406986697868,11,0.07117592038618119,3,0.1853996942039383,7,0.08984715466256754
0_2_33_p1,4,0.1622542906054954,9,0.07839136761693491,3,0.16996402232948676,7,0.08210151901899167
0_2_34_p1,5,0.10734843301944871,10,0.06275060609641446,5,0.12300716058915966,8,0.08541103519213822
0_2_35_p1,5,0.11529301553544115,9,0.07427675305912734,3,0.16064558255338765,6,0.09259891094811969
0_2_36_p1,5,0.12270293885078017,10,0.06729462393486722,5,0.13948155192597872,8,0.0960537113619523
0_2_37_p1,6,0.10405515107705095,13,0.056394404134060196,4,0.1351857921792085,8,0.078511088703457
0_2_38_p0,8,0.08415744922840439,16,0.04916205348940392,6,0.1161791169299132,10,0.07954600721433404
0_2_39_p0,6,0.10414950952143265,12,0.06084377366417307,5,0.11632260635084535,8,0.08294407502496401
0_2_3_p0,4,0.15686081476039557,7,0.09481653813247475,3,0.17847660358893774,6,0.09875862357465796
0_2_40_p0,6,0.10605321946525952,12,0.058861189687754306,4,0.11773473176230988,8,0.0713066504048045
0_2_41_p0,5,0.1180725488654029,11,0.06275100220193841,5,0.13037693582809542,8,0.0899236357063261
0_2_43_p0,5,0.12926670463487985,11,0.06667978653757053,4,0.15052202766320363,8,0.08685598335930148
0_2_44_p0,6,0.107388413138195,11,0.06584617235683835,5,0.12046820473502318,9,0.07757399499898728
0_2_45_p0,6,0.09357533424922237,11,0.0583369145831096,5,0.13591841822729073,9,0.08445624134350123
0_2_46_p0,6,0.11113755445320969,13,0.05882598916594158,6,0.10908645695512283,9,0.08111278929138513
0_2_47_p0,5,0.1281586055602772,9,0.07812775907674119,3,0.1566126369468232,6,0.08998793353484813
0_2_48_p0,5,0.12014865496075923,12,0.05723142872396743,4,0.15102443797621848,7,0.09556586288130613
0_2_49_p0,5,0.138080955254547,9,0.08209378307364726,4,0.14016641932792273,7,0.09261264747886006
0_2_4_p0,5,0.07408483882093964,10,0.04561647429138008,4,0.13812988942246052,8,0.08226667738993255
0_2_50_p0,5,0.13652608566104923,9,0.07986742042209988,4,0.1666835130362112,7,0.10194630182749487
0_2_51_p0,5,0.12073872427108205,11,0.061705907831594686,5,0.13780158264176232,8,0.09321188051658633
0_2_52_p0,6,0.10699949024047517,12,0.06011535743547009,5,0.10767409519898577,9,0.07258573028238399
0_2_53_p1,4,0.12709969098295248,7,0.08137891039939514,3,0.1864043070642386,5,0.10503504007253167
0_2_54_p1,4,0.15576848411286007,10,0.06807460742698808,3,0.13739868744838135,7,0.07170251150738911
0_2_55_p1,5,0.11547374858339746,10,0.06402223000034983,4,0.12426037127648876,7,0.08067117038041967
0_2_56_p1,4,0.14304642332813192,9,0.0737255237574968,3,0.1899152333159731,6,0.10086345741157181
0_2_57_p1,4,0.15323539836948544,8,0.0809009966543414,3,0.15563696510607877,5,0.10762577646625165
0_2_58_p1,6,0.10912708938043225,11,0.06568432657122478,5,0.12159844682140081,9,0.07897264524581031
0_2_59_p1,6,0.10053222653555824,12,0.058897023265905846,4,0.10937208578735558,7,0.07732089008422323
0_2_5_p0,4,0.13691255123681986,8,0.0800000669985187,5,0.13613271619105538,7,0.10391323641272121
0_2_60_p1,4,0.15298619101570146,8,0.08473221741382855,4,0.16100200079864624,6,0.1127507516500417
0_2_61_p1,4,0.11962650113651929,8,0.06588061460963823,4,0.14595025583945762,7,0.0930694750701066
0_2_62_p1,5,0.10924328338728481,10,0.06104662787358585,4,0.13352164597401547,7,0.0843694814529875
0_2_63_p1,6,0.10701252586358687,12,0.0589246030444945,5,0.15120694151874356,8,0.10053687725601809
0_2_64_p1,4,0.15919494542942755,9,0.075740302096047,3,0.20407894565910792,6,0.11050771660293361
0_2_65_p1,4,0.14971720240723885,8,0.07930392609602857,3,0.20187642278483325,5,0.12426807892351846
0_2_67_p0,4,0.130162289982827,7,0.08118265179772671,3,0.21026232245368556,5,0.13742950290430073
0_2_68_p0,4,0.1456749890934996,9,0.07259912524965698,3,0.20578649348731204,6,0.11345964646132503
0_2_69_p0,5,0.1058701563058614,10,0.062041503664578994,5,0.13440216039857483,8,0.09296465288684919
0_2_6_p0,5,0.11872135688907015,9,0.07319500753128451,4,0.15357549004131293,7,0.09591009261885408
0_2_70_p0,,,,,,,,
0_2_71_p0,,,,,,,,
0_2_72_p0,,,,,,,,
0_2_73_p0,,,,,,,,
0_2_74_p0,,,,,,,,
0_2_75_p0,5,0.0958243767898053,10,0.059346788615170586,3,0.1518582732992927,6,0.08643665850753468
0_2_76_p0,,,,,,,,
0_2_77_p0,,,,,,,,
0_2_78_p0,,,,,,,,
0_2_79_p0,5,0.0917425374261332,10,0.056479273615676145,3,0.10026117611207508,7,0.06038619406008361
0_2_7_p0,6,0.10317343052530248,12,0.057942735961001454,5,0.12961478832568823,9,0.08165513207384797
0_2_80_p0,,,,,,,,
0_2_81_p0,2,0.28060511863820214,4,0.15004478303259186,2,0.29093835547112545,3,0.1765191199286631
0_2_82_p0,5,0.104745721412205,10,0.059511989749178276,3,0.13186396483715263,6,0.07565135167472543
0_2_83_p0,5,0.11147618361800603,11,0.057750904242299894,4,0.1651616909326296,7,0.0996327177519664
0_2_84_p0,4,0.1736145661886155,8,0.09232183821680941,3,0.21935755614566754,5,0.13924810767145526
0_2_85_p0,,,,,,,,
0_2_86_p0,,,,,,,,
0_2_87_p0,,,,,,,,
0_2_88_p0,,,,,,,,
0_2_89_p0,4,0.16111086818737302,7,0.0987744246242422,4,0.14811922852411474,6,0.10492102214841456
0_2_8_p0,4,0.1306459337194151,8,0.07442332690500132,4,0.12805082636483311,7,0.08580471450762354
0_2_90_p0,4,0.13815630860029113,8,0.08061800469373201,3,0.1958181990346678,5,0.12609214849240535
0_2_91_p0,3,0.20337571178825778,6,0.10413585322713917,3,0.15883915493750955,6,0.09339005471663622
0_2_92_p1,,,,,,,,
0_2_93_p1,5,0.12123061765007381,9,0.07381111684436348,3,0.16921715656962524,6,0.09734272335021087
0_2_94_p1,3,0.11598664525750063,6,0.07373313522009191,3,0.1655042642662467,5,0.11341030108658787
0_2_95_p1,5,0.13501249494897466,10,0.07645100354504929,,,,
0_2_96_p1,3,0.21166058092347242,5,0.12685508540044133,2,0.24006410656805832,3,0.18305752185318747
0_2_97_p1,3,0.14322286861223954,5,0.09771999564346129,,,,
0_2_98_p1,4,0.1505781278190831,9,0.07532553518449153,,,,
0_2_99_p1,4,0.1673086404277179,7,0.09981977310200385,,,,
0_2_9_p0,,,,,,,,
