,pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
1570,20_2_9_p0,0.046,0.014,0.104,0.043
1587,21_1_30_p1,0.072,0.037,0.153,0.08
1608,21_1_53_p1,0.046,0.018,0.105,0.049
1622,22_1_20_p0,0.051,0.027,0.115,0.07
1649,22_1_50_p1,0.054,0.02,0.111,0.051
1671,22_2_111_p1,0.048,0.012,0.106,0.04
1680,22_2_22_p1,0.058,0.013,0.122,0.042
1690,22_2_32_p1,0.045,0.019,0.11,0.063
1761,23_1_2_p0,0.048,0.033,0.089,0.058
1768,23_1_38_p0,0.047,0.021,0.107,0.057
1772,23_1_41_p0,0.043,0.015,0.106,0.057
1775,23_1_44_p0,0.046,0.033,0.105,0.097
1777,23_1_48_p1,0.041,0.019,0.084,0.042
1787,23_1_8_p0,0.053,0.033,0.115,0.078
1793,24_1_14_p1,0.044,0.005,0.086,0.021
1794,24_1_15_p1,0.066,0.089,0.192,0.353
1795,24_1_16_p1,0.054,0.063,0.147,0.25
1817,24_1_42_p0,0.042,0.015,0.095,0.048
1839,24_2_105_p0,0.044,0.008,0.087,0.03
1842,24_2_110_p1,0.049,0.038,0.093,0.063
1843,24_2_111_p1,0.041,0.01,0.084,0.022
1845,24_2_113_p1,0.048,0.017,0.1,0.04
1846,24_2_114_p1,0.05,0.025,0.094,0.048
1864,24_2_21_p0,0.056,0.005,0.098,0.008
1866,24_2_27_p1,0.057,0.007,0.131,0.021
1871,24_2_32_p1,0.065,0.03,0.166,0.111
1906,24_2_73_p1,0.076,0.025,0.185,0.071
1909,24_2_76_p1,0.048,0.024,0.106,0.061
1910,24_2_77_p1,0.05,0.019,0.103,0.051
1931,26_1_11_p1,0.054,0.017,0.142,0.057
1932,26_1_12_p1,0.048,0.028,0.114,0.095
1937,26_1_17_p1,0.041,0.016,0.1,0.075
1952,26_1_35_p1,0.06,0.019,0.154,0.063
1961,26_1_47_p1,0.041,0.006,0.1,0.02
1962,26_1_48_p1,0.043,0.013,0.115,0.054
1963,26_1_49_p1,0.044,0.008,0.099,0.022
1964,26_1_4_p0,0.044,0.033,0.086,0.059
1965,26_1_50_p1,0.041,0.008,0.109,0.028
1966,26_1_51_p1,0.042,0.006,0.103,0.021
1968,26_1_53_p1,0.059,0.01,0.171,0.035
1969,26_1_5_p0,0.07,0.039,0.191,0.143
1971,26_1_7_p0,0.045,0.013,0.108,0.044
1978,26_2_106_p1,0.06,0.023,0.153,0.063
1983,26_2_110_p1,0.042,0.016,0.097,0.052
1984,26_2_111_p1,0.05,0.015,0.132,0.052
1997,26_2_19_p0,0.053,0.021,0.131,0.067
1998,26_2_20_p0,0.056,0.02,0.139,0.073
2002,26_2_29_p1,0.07,0.021,0.195,0.073
2004,26_2_31_p1,0.043,0.007,0.119,0.03
2006,26_2_33_p1,0.05,0.009,0.134,0.032
2015,26_2_45_p0,0.055,0.027,0.129,0.066
2024,26_2_54_p0,0.062,0.034,0.146,0.093
2025,26_2_55_p0,0.062,0.036,0.153,0.08
2031,26_2_61_p0,0.054,0.023,0.112,0.044
2033,26_2_66_p1,0.048,0.017,0.114,0.06
2036,26_2_69_p1,0.092,0.031,0.209,0.074
2049,26_2_84_p0,0.057,0.015,0.137,0.039
2050,26_2_85_p0,0.053,0.018,0.128,0.051
2051,26_2_86_p0,0.065,0.023,0.161,0.068
2053,26_2_88_p0,0.041,0.021,0.091,0.058
2056,26_2_90_p0,0.049,0.031,0.111,0.083
2058,26_2_92_p0,0.063,0.039,0.139,0.098
2060,26_2_94_p0,0.09,0.049,0.206,0.125
2073,27_1_20_p0,0.044,0.026,0.095,0.073
2075,27_1_22_p0,0.043,0.018,0.1,0.054
2086,27_1_34_p1,0.041,0.019,0.113,0.087
2105,27_1_6_p0,0.046,0.024,0.112,0.067
2121,27_2_20_p1,0.049,0.014,0.112,0.037
2128,27_2_27_p1,0.057,0.024,0.151,0.079
2129,27_2_28_p1,0.052,0.031,0.108,0.063
2138,27_2_39_p0,0.099,0.032,0.236,0.079
2139,27_2_3_p0,0.042,0.018,0.092,0.039
2149,27_2_52_p1,0.042,0.01,0.095,0.03
2150,27_2_53_p1,0.042,0.015,0.09,0.042
2152,27_2_55_p1,0.048,0.012,0.124,0.035
2166,27_2_71_p0,0.053,0.019,0.115,0.05
2176,27_2_80_p0,0.066,0.019,0.14,0.037
2177,27_2_81_p0,0.054,0.011,0.138,0.035
