pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
11_2_36_p1,0.024,0.001,0.042,0.002
11_2_37_p1,0.026,0.003,0.045,0.004
11_2_38_p1,0.025,0.001,0.043,0.004
11_2_39_p1,0.025,0.004,0.046,0.007
11_2_3_p0,0.027,0.002,0.048,0.007
11_2_40_p1,0.024,0.001,0.043,0.005
11_2_44_p0,0.03,0.004,0.057,0.009
11_2_45_p0,0.028,0.004,0.054,0.013
11_2_46_p0,0.026,0.003,0.05,0.01
11_2_47_p0,0.041,0.027,0.105,0.12
11_2_48_p0,0.043,0.033,0.099,0.106
11_2_49_p0,0.03,0.004,0.055,0.011
11_2_4_p0,0.024,0.001,0.046,0.004
11_2_50_p0,0.031,0.005,0.061,0.019
11_2_51_p0,0.033,0.006,0.069,0.02
11_2_52_p0,0.03,0.004,0.056,0.012
11_2_53_p0,0.029,0.004,0.055,0.012
11_2_54_p0,0.033,0.006,0.066,0.016
11_2_5_p0,0.03,0.003,0.057,0.007
11_2_61_p1,0.025,0.003,0.047,0.009
11_2_62_p1,0.026,0.003,0.05,0.008
11_2_63_p1,0.029,0.005,0.06,0.014
11_2_64_p1,0.025,0.002,0.049,0.008
11_2_65_p1,0.026,0.003,0.052,0.011
11_2_66_p1,0.025,0.003,0.046,0.01
11_2_67_p1,0.025,0.002,0.05,0.007
11_2_68_p1,0.04,0.019,0.091,0.053
11_2_69_p1,0.029,0.007,0.058,0.026
11_2_6_p0,0.027,0.002,0.045,0.007
11_2_70_p1,0.027,0.002,0.049,0.008
11_2_71_p1,0.025,0.002,0.047,0.007
11_2_72_p1,0.024,0.002,0.045,0.005
11_2_75_p0,0.039,0.01,0.089,0.039
11_2_76_p0,0.036,0.009,0.081,0.029
11_2_77_p0,0.031,0.002,0.065,0.008
11_2_78_p0,0.035,0.004,0.069,0.018
11_2_79_p0,0.038,0.005,0.086,0.019
11_2_7_p0,0.028,0.001,0.06,0.005
11_2_80_p0,0.031,0.005,0.063,0.016
11_2_81_p0,0.033,0.005,0.064,0.011
11_2_82_p0,0.034,0.006,0.07,0.015
11_2_83_p0,0.031,0.004,0.061,0.012
11_2_84_p0,0.028,0.002,0.045,0.006
11_2_85_p0,0.029,0.003,0.054,0.009
11_2_86_p0,0.081,0.054,0.142,0.09
11_2_87_p0,0.032,0.004,0.058,0.005
11_2_88_p0,0.032,0.005,0.06,0.013
11_2_89_p0,0.038,0.006,0.083,0.018
11_2_8_p0,0.026,0.001,0.047,0.006
11_2_90_p0,0.033,0.006,0.072,0.025
11_2_91_p0,0.031,0.003,0.059,0.01
11_2_98_p1,0.028,0.003,0.052,0.01
11_2_99_p1,0.035,0.017,0.082,0.068
11_2_9_p0,0.028,0.003,0.054,0.013
12_1_11_p1,0.036,0.005,0.073,0.014
12_1_12_p1,0.03,0.004,0.065,0.013
12_1_13_p1,0.026,0.003,0.052,0.011
12_1_14_p1,0.032,0.006,0.065,0.015
12_1_15_p1,0.03,0.004,0.06,0.013
12_1_16_p1,0.051,0.033,0.122,0.096
12_1_17_p1,0.028,0.004,0.053,0.012
12_1_20_p0,0.025,0.001,0.052,0.006
12_1_21_p0,0.026,0.002,0.052,0.008
12_1_22_p0,0.025,0.002,0.051,0.007
12_1_23_p0,0.024,0.001,0.047,0.005
12_1_24_p0,0.024,0.001,0.043,0.003
12_1_25_p0,0.027,0.001,0.053,0.006
12_1_26_p0,0.028,0.002,0.053,0.005
12_1_29_p1,0.026,0.001,0.049,0.004
12_1_2_p0,0.029,0.001,0.058,0.006
12_1_30_p1,0.026,0.001,0.047,0.003
12_1_31_p1,0.026,0.001,0.045,0.003
12_1_32_p1,0.026,0.001,0.045,0.003
12_1_33_p1,0.026,0.002,0.048,0.017
12_1_34_p1,0.026,0.001,0.046,0.004
12_1_35_p1,0.025,0.001,0.044,0.005
12_1_38_p0,0.031,0.006,0.065,0.02
12_1_39_p0,0.033,0.005,0.073,0.015
12_1_3_p0,0.032,0.005,0.079,0.022
12_1_40_p0,0.028,0.003,0.06,0.013
12_1_41_p0,0.024,0.001,0.047,0.011
12_1_42_p0,0.028,0.003,0.065,0.018
12_1_43_p0,0.025,0.003,0.052,0.005
12_1_44_p0,0.029,0.004,0.055,0.01
12_1_47_p1,0.029,0.003,0.057,0.013
12_1_48_p1,0.026,0.002,0.05,0.008
12_1_49_p1,0.027,0.003,0.051,0.008
12_1_4_p0,0.03,0.005,0.062,0.014
12_1_50_p1,0.025,0.001,0.046,0.003
12_1_51_p1,0.031,0.004,0.069,0.014
12_1_52_p1,0.03,0.007,0.06,0.025
12_1_53_p1,0.028,0.003,0.062,0.019
12_1_5_p0,0.033,0.008,0.076,0.017
12_1_6_p0,0.027,0.002,0.053,0.007
12_1_7_p0,0.028,0.001,0.058,0.006
12_1_8_p0,0.026,0.003,0.055,0.01
12_1_tpose_p0,0.027,0.001,0.055,0.005
12_1_tpose_p1,0.025,0.001,0.049,0.002
12_2_102_p1,0.032,0.004,0.071,0.012
12_2_103_p1,0.029,0.004,0.065,0.014
12_2_104_p1,0.033,0.005,0.071,0.008
12_2_105_p1,0.027,0.005,0.062,0.011
12_2_106_p1,0.034,0.009,0.077,0.028
12_2_107_p1,0.034,0.019,0.08,0.058
12_2_108_p1,0.025,0.004,0.058,0.021
12_2_109_p1,0.028,0.005,0.068,0.022
12_2_10_p0,0.026,0.002,0.055,0.011
12_2_110_p1,0.026,0.001,0.049,0.006
12_2_111_p1,0.029,0.003,0.059,0.011
12_2_112_p1,0.024,0.001,0.044,0.006
12_2_11_p0,0.027,0.002,0.052,0.008
12_2_12_p0,0.043,0.026,0.091,0.055
12_2_13_p0,0.036,0.019,0.076,0.042
12_2_14_p0,0.057,0.031,0.132,0.075
12_2_15_p0,0.066,0.036,0.142,0.078
12_2_16_p0,0.033,0.019,0.07,0.057
12_2_17_p0,0.028,0.005,0.057,0.015
12_2_18_p0,0.028,0.005,0.057,0.017
12_2_22_p1,0.029,0.004,0.066,0.017
12_2_23_p1,0.03,0.004,0.065,0.012
12_2_24_p1,0.029,0.003,0.06,0.009
12_2_25_p1,0.029,0.003,0.059,0.008
12_2_26_p1,0.033,0.006,0.061,0.015
12_2_27_p1,0.041,0.011,0.081,0.028
12_2_28_p1,0.025,0.002,0.054,0.012
12_2_29_p1,0.024,0.002,0.049,0.007
12_2_30_p1,0.028,0.003,0.06,0.013
12_2_31_p1,0.047,0.022,0.115,0.084
12_2_32_p1,0.041,0.007,0.089,0.027
12_2_33_p1,0.058,0.041,0.172,0.16
12_2_34_p1,0.026,0.004,0.054,0.013
12_2_35_p1,0.029,0.004,0.067,0.015
12_2_36_p1,0.026,0.003,0.049,0.009
12_2_37_p1,0.033,0.014,0.066,0.036
12_2_38_p1,0.026,0.003,0.052,0.016
12_2_39_p1,0.029,0.008,0.062,0.026
12_2_44_p0,0.026,0.001,0.059,0.012
12_2_45_p0,0.027,0.001,0.056,0.005
12_2_46_p0,0.029,0.002,0.056,0.007
12_2_47_p0,0.025,0.002,0.048,0.004
12_2_48_p0,0.029,0.002,0.057,0.006
12_2_49_p0,0.033,0.008,0.072,0.032
12_2_4_p0,0.027,0.005,0.057,0.025
12_2_50_p0,0.025,0.002,0.047,0.007
12_2_51_p0,0.025,0.002,0.05,0.01
12_2_52_p0,0.023,0.002,0.042,0.005
12_2_53_p0,0.031,0.002,0.067,0.009
12_2_54_p0,0.028,0.004,0.055,0.012
12_2_55_p0,0.026,0.001,0.051,0.005
12_2_56_p0,0.028,0.003,0.058,0.01
12_2_57_p0,0.026,0.003,0.05,0.01
12_2_58_p0,0.026,0.002,0.052,0.006
12_2_59_p0,0.027,0.002,0.056,0.012
12_2_5_p0,0.029,0.002,0.056,0.01
12_2_60_p0,0.025,0.001,0.052,0.006
12_2_65_p1,0.023,0.001,0.04,0.003
12_2_66_p1,0.023,0.001,0.037,0.002
12_2_67_p1,0.024,0.001,0.038,0.002
12_2_68_p1,0.022,0.001,0.036,0.001
12_2_69_p1,0.024,0.001,0.038,0.002
12_2_6_p0,0.025,0.003,0.049,0.005
12_2_70_p1,0.023,0.0,0.037,0.002
12_2_71_p1,0.022,0.0,0.036,0.001
