pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
39_1_24_p0,0.028,0.007,0.061,0.02
39_1_25_p0,0.026,0.002,0.054,0.007
39_1_26_p0,0.027,0.003,0.057,0.012
39_1_29_p1,0.029,0.003,0.058,0.015
39_1_2_p0,0.027,0.001,0.046,0.003
39_1_30_p1,0.032,0.003,0.066,0.007
39_1_31_p1,0.034,0.008,0.069,0.023
39_1_32_p1,0.045,0.018,0.11,0.061
39_1_33_p1,0.029,0.003,0.059,0.009
39_1_34_p1,0.031,0.003,0.071,0.012
39_1_35_p1,0.031,0.003,0.07,0.012
39_1_38_p0,0.028,0.006,0.057,0.023
39_1_39_p0,0.033,0.006,0.074,0.022
39_1_3_p0,0.026,0.002,0.051,0.006
39_1_40_p0,0.028,0.005,0.057,0.015
39_1_41_p0,0.023,0.002,0.046,0.009
39_1_42_p0,0.023,0.002,0.043,0.006
39_1_43_p0,0.034,0.004,0.07,0.022
39_1_44_p0,0.026,0.004,0.052,0.014
39_1_47_p1,0.036,0.014,0.07,0.037
39_1_48_p1,0.029,0.004,0.059,0.009
39_1_49_p1,0.028,0.003,0.056,0.011
39_1_4_p0,0.029,0.002,0.055,0.007
39_1_50_p1,0.03,0.003,0.062,0.011
39_1_51_p1,0.028,0.002,0.055,0.006
39_1_52_p1,0.032,0.002,0.062,0.011
39_1_53_p1,0.033,0.003,0.073,0.011
39_1_5_p0,0.024,0.002,0.045,0.005
39_1_6_p0,0.028,0.003,0.052,0.007
39_1_7_p0,0.026,0.002,0.046,0.007
39_1_8_p0,0.026,0.002,0.049,0.006
39_1_tpose_p0,0.034,0.001,0.067,0.006
39_1_tpose_p1,0.031,0.001,0.056,0.004
39_2_100_p1,0.031,0.005,0.079,0.022
39_2_101_p1,0.033,0.01,0.067,0.023
39_2_102_p1,0.076,0.028,0.197,0.082
39_2_103_p1,0.075,0.021,0.171,0.047
39_2_104_p1,0.025,0.003,0.052,0.009
39_2_105_p1,0.035,0.009,0.076,0.022
39_2_106_p1,0.035,0.006,0.084,0.023
39_2_107_p1,0.05,0.023,0.124,0.06
39_2_108_p1,0.03,0.005,0.071,0.02
39_2_109_p1,0.038,0.015,0.089,0.04
39_2_10_p0,0.025,0.002,0.047,0.007
39_2_110_p1,0.03,0.004,0.068,0.021
39_2_111_p1,0.031,0.005,0.075,0.02
39_2_112_p1,0.031,0.005,0.076,0.023
39_2_113_p1,0.045,0.022,0.096,0.042
39_2_11_p0,0.025,0.002,0.049,0.005
39_2_12_p0,0.027,0.005,0.054,0.015
39_2_13_p0,0.026,0.001,0.05,0.006
39_2_14_p0,0.023,0.002,0.044,0.006
39_2_15_p0,0.026,0.002,0.052,0.007
39_2_16_p0,0.027,0.003,0.053,0.012
39_2_17_p0,0.027,0.004,0.059,0.021
39_2_18_p0,0.034,0.002,0.085,0.017
39_2_19_p0,0.032,0.003,0.073,0.017
39_2_20_p0,0.025,0.002,0.047,0.007
39_2_21_p0,0.025,0.002,0.045,0.005
39_2_22_p0,0.024,0.001,0.046,0.007
39_2_23_p0,0.025,0.004,0.053,0.018
39_2_24_p0,0.024,0.003,0.047,0.009
39_2_25_p0,0.029,0.002,0.058,0.01
39_2_30_p1,0.028,0.001,0.059,0.006
39_2_31_p1,0.03,0.001,0.055,0.004
39_2_32_p1,0.03,0.002,0.055,0.01
39_2_33_p1,0.029,0.002,0.055,0.007
39_2_34_p1,0.031,0.002,0.054,0.004
39_2_35_p1,0.027,0.002,0.05,0.006
39_2_36_p1,0.032,0.002,0.059,0.006
39_2_37_p1,0.03,0.002,0.055,0.006
39_2_38_p1,0.032,0.002,0.061,0.007
39_2_39_p1,0.03,0.002,0.055,0.007
39_2_40_p1,0.031,0.002,0.059,0.006
39_2_41_p1,0.031,0.003,0.056,0.005
39_2_42_p1,0.031,0.002,0.059,0.008
39_2_43_p1,0.029,0.002,0.053,0.01
39_2_44_p1,0.031,0.002,0.057,0.007
39_2_45_p1,0.03,0.002,0.053,0.006
39_2_46_p1,0.03,0.002,0.056,0.004
39_2_47_p1,0.029,0.002,0.053,0.005
39_2_48_p1,0.029,0.002,0.054,0.007
39_2_55_p0,0.027,0.004,0.059,0.018
39_2_56_p0,0.022,0.003,0.044,0.008
39_2_57_p0,0.031,0.006,0.065,0.021
39_2_58_p0,0.026,0.004,0.056,0.015
39_2_59_p0,0.026,0.005,0.053,0.017
39_2_5_p0,0.029,0.003,0.06,0.01
39_2_60_p0,0.025,0.002,0.046,0.011
39_2_61_p0,0.024,0.002,0.048,0.007
39_2_62_p0,0.024,0.003,0.052,0.016
39_2_63_p0,0.027,0.005,0.056,0.018
39_2_64_p0,0.026,0.004,0.05,0.01
39_2_65_p0,0.027,0.006,0.055,0.018
39_2_6_p0,0.025,0.002,0.05,0.006
39_2_71_p1,0.07,0.025,0.18,0.078
39_2_72_p1,0.056,0.012,0.134,0.047
39_2_73_p1,0.046,0.025,0.108,0.081
39_2_74_p1,0.031,0.005,0.058,0.009
39_2_75_p1,0.04,0.015,0.081,0.045
39_2_76_p1,0.05,0.035,0.112,0.094
39_2_77_p1,0.033,0.008,0.072,0.023
39_2_78_p1,0.033,0.011,0.068,0.03
39_2_79_p1,0.031,0.005,0.066,0.019
39_2_7_p0,0.025,0.002,0.049,0.007
39_2_80_p1,0.032,0.005,0.071,0.012
39_2_81_p1,0.055,0.015,0.137,0.054
39_2_82_p1,0.038,0.013,0.086,0.037
39_2_88_p0,0.041,0.016,0.104,0.051
39_2_89_p0,0.04,0.021,0.093,0.059
39_2_8_p0,0.026,0.001,0.049,0.004
39_2_90_p0,0.026,0.002,0.051,0.008
39_2_91_p0,0.027,0.003,0.057,0.012
39_2_92_p0,0.024,0.003,0.051,0.009
39_2_93_p0,0.028,0.003,0.057,0.012
39_2_94_p0,0.029,0.006,0.061,0.025
39_2_95_p0,0.027,0.003,0.055,0.015
39_2_96_p0,0.034,0.011,0.077,0.035
39_2_97_p0,0.045,0.019,0.117,0.063
39_2_9_p0,0.024,0.002,0.046,0.005
3_1_11_p1,0.025,0.002,0.044,0.009
3_1_12_p1,0.027,0.005,0.057,0.017
3_1_13_p1,0.025,0.002,0.047,0.007
3_1_14_p1,0.025,0.002,0.049,0.011
3_1_15_p1,0.024,0.003,0.047,0.014
3_1_16_p1,0.024,0.002,0.044,0.011
3_1_17_p1,0.027,0.003,0.052,0.012
3_1_20_p0,0.031,0.008,0.063,0.024
3_1_21_p0,0.034,0.005,0.07,0.016
3_1_22_p0,0.035,0.005,0.073,0.019
3_1_23_p0,0.038,0.006,0.079,0.014
3_1_24_p0,0.033,0.005,0.065,0.012
3_1_25_p0,0.041,0.012,0.105,0.053
3_1_26_p0,0.029,0.003,0.057,0.009
3_1_29_p1,0.027,0.003,0.054,0.009
3_1_2_p0,0.031,0.003,0.063,0.008
3_1_30_p1,0.027,0.003,0.053,0.012
3_1_31_p1,0.029,0.004,0.061,0.01
3_1_32_p1,0.03,0.006,0.062,0.024
3_1_33_p1,0.041,0.015,0.094,0.043
3_1_34_p1,0.031,0.004,0.068,0.019
3_1_35_p1,0.03,0.005,0.059,0.017
3_1_38_p0,0.042,0.01,0.086,0.027
3_1_39_p0,0.042,0.015,0.099,0.053
3_1_3_p0,0.029,0.002,0.063,0.007
3_1_40_p0,0.053,0.02,0.132,0.061
3_1_41_p0,0.039,0.008,0.091,0.03
3_1_42_p0,0.044,0.012,0.107,0.052
3_1_43_p0,0.045,0.028,0.091,0.057
3_1_44_p0,0.033,0.006,0.069,0.028
3_1_47_p1,0.025,0.003,0.056,0.015
3_1_48_p1,0.032,0.005,0.058,0.011
3_1_49_p1,0.029,0.004,0.056,0.015
3_1_4_p0,0.029,0.005,0.061,0.014
3_1_50_p1,0.027,0.003,0.052,0.014
3_1_51_p1,0.028,0.003,0.057,0.012
3_1_52_p1,0.048,0.028,0.117,0.088
3_1_53_p1,0.031,0.005,0.062,0.017
3_1_5_p0,0.03,0.002,0.062,0.011
3_1_6_p0,0.028,0.002,0.059,0.014
3_1_7_p0,0.028,0.003,0.057,0.011
3_1_8_p0,0.029,0.003,0.064,0.013
3_1_tpose_p0,0.032,0.002,0.066,0.006
3_1_tpose_p1,0.032,0.001,0.075,0.003
3_2_10_p0,0.029,0.002,0.066,0.009
3_2_11_p0,0.033,0.008,0.066,0.026
3_2_12_p0,0.029,0.002,0.058,0.009
3_2_13_p0,0.027,0.002,0.052,0.01
3_2_14_p0,0.056,0.027,0.147,0.087
3_2_15_p0,0.029,0.002,0.055,0.01
3_2_16_p0,0.028,0.002,0.055,0.01
3_2_17_p0,0.027,0.001,0.055,0.01
3_2_18_p0,0.028,0.002,0.065,0.014
3_2_19_p0,0.026,0.002,0.053,0.014
3_2_20_p0,0.028,0.001,0.059,0.013
3_2_21_p0,0.027,0.002,0.06,0.012
3_2_26_p1,0.028,0.002,0.054,0.007
3_2_27_p1,0.025,0.002,0.045,0.007
3_2_28_p1,0.026,0.002,0.048,0.007
3_2_29_p1,0.025,0.002,0.047,0.009
3_2_30_p1,0.026,0.002,0.048,0.009
3_2_31_p1,0.025,0.002,0.047,0.007
3_2_32_p1,0.029,0.002,0.05,0.004
3_2_33_p1,0.028,0.001,0.053,0.005
3_2_34_p1,0.026,0.002,0.046,0.007
3_2_35_p1,0.028,0.001,0.052,0.008
3_2_36_p1,0.027,0.001,0.045,0.004
3_2_37_p1,0.026,0.003,0.045,0.009
3_2_38_p1,0.024,0.001,0.04,0.004
3_2_43_p0,0.046,0.012,0.102,0.046
3_2_44_p0,0.053,0.027,0.11,0.052
3_2_45_p0,0.049,0.022,0.111,0.057
3_2_46_p0,0.043,0.02,0.104,0.047
3_2_47_p0,0.037,0.011,0.086,0.033
3_2_48_p0,0.034,0.018,0.083,0.085
3_2_49_p0,0.048,0.018,0.1,0.038
3_2_4_p0,0.034,0.009,0.074,0.023
3_2_50_p0,0.027,0.002,0.055,0.011
3_2_51_p0,0.039,0.025,0.087,0.068
3_2_52_p0,0.032,0.004,0.07,0.017
3_2_53_p0,0.044,0.021,0.101,0.053
3_2_57_p1,0.04,0.009,0.084,0.027
3_2_58_p1,0.045,0.021,0.102,0.058
3_2_59_p1,0.031,0.003,0.068,0.009
3_2_5_p0,0.035,0.006,0.072,0.014
3_2_60_p1,0.031,0.004,0.062,0.013
3_2_61_p1,0.032,0.005,0.067,0.019
3_2_62_p1,0.034,0.004,0.071,0.016
3_2_63_p1,0.038,0.014,0.087,0.042
3_2_64_p1,0.036,0.014,0.078,0.038
3_2_65_p1,0.045,0.019,0.107,0.051
3_2_66_p1,0.031,0.004,0.071,0.021
3_2_67_p1,0.042,0.008,0.088,0.029
3_2_6_p0,0.029,0.003,0.056,0.011
3_2_71_p0,0.079,0.041,0.167,0.087
3_2_72_p0,0.031,0.004,0.065,0.011
3_2_73_p0,0.044,0.015,0.119,0.055
3_2_74_p0,0.082,0.028,0.201,0.079
3_2_75_p0,0.053,0.025,0.12,0.069
3_2_76_p0,0.048,0.022,0.113,0.072
3_2_77_p0,0.033,0.006,0.068,0.018
3_2_78_p0,0.039,0.012,0.087,0.038
3_2_79_p0,0.044,0.012,0.106,0.045
3_2_7_p0,0.026,0.002,0.053,0.009
3_2_80_p0,0.059,0.017,0.136,0.028
3_2_81_p0,0.031,0.004,0.061,0.012
3_2_85_p1,0.028,0.002,0.054,0.008
3_2_86_p1,0.037,0.01,0.086,0.037
3_2_87_p1,0.03,0.005,0.061,0.018
3_2_88_p1,0.03,0.003,0.056,0.011
3_2_89_p1,0.03,0.003,0.059,0.009
3_2_8_p0,0.025,0.001,0.046,0.005
3_2_90_p1,0.028,0.003,0.055,0.009
3_2_91_p1,0.028,0.003,0.052,0.01
3_2_92_p1,0.046,0.021,0.112,0.064
3_2_93_p1,0.055,0.016,0.143,0.044
3_2_94_p1,0.039,0.015,0.094,0.045
3_2_9_p0,0.043,0.026,0.096,0.061
40_1_11_p1,0.034,0.008,0.073,0.033
40_1_12_p1,0.033,0.011,0.067,0.033
40_1_13_p1,0.025,0.002,0.047,0.007
40_1_14_p1,0.029,0.002,0.055,0.006
40_1_15_p1,0.031,0.002,0.062,0.006
40_1_16_p1,0.033,0.005,0.071,0.025
40_1_17_p1,0.115,0.284,0.339,0.901
40_1_20_p0,0.026,0.002,0.049,0.012
40_1_21_p0,0.04,0.019,0.089,0.052
40_1_22_p0,0.027,0.005,0.054,0.012
40_1_23_p0,0.064,0.033,0.156,0.096
40_1_24_p0,0.03,0.004,0.063,0.014
40_1_25_p0,0.025,0.003,0.049,0.009
40_1_26_p0,0.026,0.003,0.051,0.01
40_1_29_p1,0.041,0.007,0.081,0.023
40_1_2_p0,0.03,0.005,0.06,0.01
40_1_30_p1,0.032,0.005,0.063,0.021
40_1_31_p1,0.028,0.002,0.053,0.009
40_1_32_p1,0.029,0.002,0.057,0.01
40_1_33_p1,0.03,0.003,0.057,0.012
40_1_34_p1,0.031,0.003,0.059,0.01
40_1_35_p1,0.029,0.004,0.058,0.012
40_1_38_p0,0.032,0.005,0.068,0.015
40_1_39_p0,0.029,0.003,0.057,0.012
40_1_3_p0,0.041,0.005,0.078,0.012
40_1_40_p0,0.03,0.002,0.058,0.006
40_1_41_p0,0.027,0.002,0.055,0.006
40_1_42_p0,0.028,0.002,0.058,0.003
40_1_43_p0,0.028,0.002,0.058,0.004
40_1_44_p0,0.028,0.003,0.059,0.01
40_1_47_p1,0.026,0.001,0.045,0.006
40_1_48_p1,0.025,0.002,0.048,0.006
40_1_49_p1,0.025,0.001,0.047,0.005
40_1_4_p0,0.036,0.01,0.066,0.029
40_1_50_p1,0.025,0.002,0.046,0.005
40_1_51_p1,0.024,0.002,0.048,0.006
40_1_52_p1,0.024,0.002,0.045,0.006
40_1_53_p1,0.025,0.002,0.048,0.005
40_1_5_p0,0.029,0.002,0.059,0.01
40_1_6_p0,0.03,0.004,0.052,0.006
40_1_7_p0,0.031,0.004,0.068,0.011
40_1_8_p0,0.03,0.003,0.06,0.009
40_1_tpose_p0,0.028,0.002,0.049,0.005
40_1_tpose_p1,0.028,0.002,0.058,0.007
40_2_100_p1,0.029,0.003,0.056,0.005
40_2_101_p1,0.029,0.003,0.056,0.012
40_2_102_p1,0.03,0.007,0.059,0.021
40_2_103_p1,0.061,0.029,0.156,0.087
40_2_104_p1,0.028,0.003,0.052,0.01
40_2_105_p1,0.043,0.034,0.096,0.094
40_2_106_p1,0.026,0.002,0.05,0.007
40_2_107_p1,0.029,0.003,0.057,0.01
40_2_108_p1,0.028,0.002,0.054,0.007
40_2_109_p1,0.029,0.003,0.056,0.011
40_2_10_p0,0.034,0.006,0.083,0.019
40_2_11_p0,0.035,0.009,0.075,0.018
40_2_12_p0,0.046,0.024,0.095,0.041
40_2_13_p0,0.041,0.021,0.093,0.069
40_2_14_p0,0.034,0.015,0.071,0.044
40_2_15_p0,0.045,0.018,0.105,0.061
40_2_16_p0,0.031,0.003,0.055,0.007
40_2_17_p0,0.028,0.004,0.057,0.011
40_2_18_p0,0.028,0.004,0.057,0.011
40_2_19_p0,0.029,0.003,0.052,0.007
40_2_20_p0,0.03,0.002,0.058,0.009
40_2_21_p0,0.031,0.005,0.061,0.012
40_2_22_p0,0.034,0.003,0.073,0.012
40_2_23_p0,0.031,0.005,0.057,0.014
40_2_28_p1,0.028,0.001,0.052,0.005
40_2_29_p1,0.031,0.003,0.059,0.007
40_2_30_p1,0.03,0.003,0.053,0.006
40_2_31_p1,0.027,0.002,0.052,0.007
40_2_32_p1,0.029,0.005,0.06,0.017
40_2_33_p1,0.029,0.003,0.056,0.012
40_2_34_p1,0.043,0.015,0.105,0.057
40_2_35_p1,0.027,0.003,0.053,0.009
40_2_36_p1,0.032,0.01,0.066,0.031
40_2_37_p1,0.049,0.016,0.109,0.05
40_2_38_p1,0.031,0.005,0.067,0.019
40_2_39_p1,0.027,0.002,0.054,0.009
40_2_42_p0,0.031,0.003,0.062,0.004
40_2_43_p0,0.029,0.002,0.06,0.006
40_2_44_p0,0.028,0.001,0.058,0.005
40_2_45_p0,0.026,0.003,0.059,0.007
40_2_46_p0,0.041,0.008,0.081,0.019
40_2_47_p0,0.029,0.003,0.059,0.01
40_2_48_p0,0.027,0.003,0.055,0.01
40_2_49_p0,0.028,0.003,0.056,0.008
40_2_4_p0,0.031,0.004,0.063,0.014
40_2_50_p0,0.027,0.003,0.053,0.009
40_2_51_p0,0.028,0.003,0.054,0.005
40_2_52_p0,0.028,0.002,0.054,0.004
40_2_53_p0,0.028,0.002,0.054,0.005
40_2_54_p0,0.051,0.02,0.111,0.059
40_2_55_p0,0.027,0.004,0.055,0.009
40_2_56_p0,0.028,0.003,0.057,0.012
40_2_57_p0,0.027,0.002,0.054,0.008
40_2_58_p0,0.028,0.002,0.058,0.008
40_2_59_p0,0.025,0.002,0.055,0.006
40_2_5_p0,0.036,0.004,0.069,0.011
40_2_66_p1,0.024,0.002,0.043,0.007
40_2_67_p1,0.026,0.002,0.049,0.007
40_2_68_p1,0.025,0.001,0.047,0.005
40_2_69_p1,0.025,0.001,0.043,0.004
40_2_6_p0,0.032,0.003,0.059,0.011
40_2_70_p1,0.024,0.002,0.046,0.004
40_2_71_p1,0.023,0.002,0.04,0.007
40_2_72_p1,0.024,0.001,0.045,0.005
40_2_73_p1,0.024,0.001,0.046,0.003
40_2_74_p1,0.024,0.002,0.044,0.006
40_2_75_p1,0.026,0.003,0.051,0.012
40_2_76_p1,0.033,0.013,0.072,0.042
40_2_77_p1,0.025,0.001,0.047,0.004
40_2_78_p1,0.027,0.002,0.047,0.006
40_2_7_p0,0.031,0.002,0.056,0.007
40_2_82_p0,0.032,0.007,0.075,0.026
40_2_83_p0,0.03,0.003,0.056,0.008
40_2_84_p0,0.029,0.002,0.056,0.009
40_2_85_p0,0.037,0.015,0.087,0.047
40_2_86_p0,0.031,0.005,0.067,0.016
40_2_87_p0,0.03,0.005,0.063,0.013
40_2_88_p0,0.041,0.015,0.085,0.032
40_2_89_p0,0.03,0.003,0.06,0.007
40_2_8_p0,0.03,0.003,0.06,0.009
40_2_90_p0,0.036,0.009,0.08,0.03
40_2_91_p0,0.033,0.009,0.067,0.027
40_2_92_p0,0.031,0.003,0.061,0.007
40_2_93_p0,0.03,0.003,0.061,0.007
40_2_94_p0,0.03,0.004,0.06,0.009
40_2_9_p0,0.026,0.002,0.049,0.004
41_1_11_p1,0.027,0.001,0.056,0.006
41_1_12_p1,0.027,0.002,0.054,0.007
41_1_13_p1,0.026,0.001,0.051,0.003
41_1_14_p1,0.026,0.001,0.052,0.003
41_1_15_p1,0.027,0.001,0.047,0.004
41_1_16_p1,0.028,0.001,0.058,0.007
41_1_17_p1,0.028,0.001,0.056,0.007
41_1_20_p0,0.027,0.005,0.057,0.022
41_1_21_p0,0.028,0.007,0.063,0.022
41_1_22_p0,0.029,0.005,0.061,0.02
41_1_23_p0,0.03,0.013,0.059,0.029
41_1_24_p0,0.03,0.011,0.063,0.025
41_1_25_p0,0.041,0.022,0.08,0.044
41_1_26_p0,0.03,0.007,0.068,0.027
41_1_29_p1,0.027,0.001,0.055,0.004
41_1_2_p0,0.032,0.008,0.062,0.023
41_1_30_p1,0.029,0.002,0.053,0.005
41_1_31_p1,0.031,0.004,0.066,0.017
41_1_32_p1,0.034,0.006,0.073,0.03
41_1_33_p1,0.03,0.002,0.056,0.004
41_1_34_p1,0.034,0.003,0.063,0.011
41_1_35_p1,0.027,0.002,0.057,0.006
41_1_38_p0,0.027,0.006,0.057,0.021
41_1_39_p0,0.032,0.013,0.063,0.032
41_1_3_p0,0.028,0.009,0.057,0.02
41_1_40_p0,0.037,0.015,0.088,0.033
41_1_41_p0,0.025,0.009,0.058,0.023
41_1_42_p0,0.031,0.01,0.068,0.026
41_1_43_p0,0.028,0.004,0.062,0.019
41_1_44_p0,0.026,0.003,0.05,0.011
41_1_47_p1,0.027,0.002,0.049,0.007
41_1_48_p1,0.032,0.002,0.057,0.009
41_1_49_p1,0.031,0.004,0.057,0.015
41_1_4_p0,0.026,0.002,0.049,0.003
41_1_50_p1,0.03,0.002,0.053,0.006
41_1_51_p1,0.029,0.002,0.051,0.003
41_1_52_p1,0.031,0.002,0.058,0.006
41_1_53_p1,0.029,0.002,0.058,0.006
41_1_5_p0,0.039,0.021,0.072,0.04
41_1_6_p0,0.034,0.007,0.067,0.024
41_1_7_p0,0.029,0.003,0.053,0.015
41_1_8_p0,0.032,0.006,0.059,0.021
41_1_tpose_p0,0.032,0.001,0.068,0.006
41_1_tpose_p1,0.029,0.001,0.053,0.002
41_2_13_p1,0.024,0.002,0.045,0.007
41_2_14_p1,0.03,0.005,0.071,0.029
41_2_15_p1,0.027,0.002,0.049,0.006
41_2_16_p1,0.036,0.004,0.066,0.006
41_2_17_p1,0.038,0.02,0.075,0.05
41_2_18_p1,0.039,0.012,0.081,0.034
41_2_19_p1,0.033,0.007,0.065,0.029
41_2_20_p1,0.027,0.002,0.053,0.009
41_2_21_p1,0.028,0.004,0.051,0.008
41_2_22_p1,0.027,0.002,0.053,0.009
41_2_23_p1,0.029,0.002,0.054,0.011
41_2_2_p0,0.03,0.008,0.059,0.023
41_2_30_p0,0.031,0.011,0.061,0.027
41_2_31_p0,0.029,0.011,0.056,0.025
41_2_32_p0,0.028,0.009,0.058,0.028
41_2_33_p0,0.027,0.005,0.053,0.019
41_2_34_p0,0.028,0.004,0.055,0.015
41_2_35_p0,0.03,0.008,0.059,0.02
41_2_36_p0,0.037,0.019,0.069,0.042
41_2_37_p0,0.03,0.012,0.058,0.027
41_2_38_p0,0.027,0.003,0.053,0.013
41_2_39_p0,0.026,0.006,0.051,0.021
41_2_3_p0,0.032,0.01,0.074,0.029
41_2_40_p0,0.034,0.014,0.072,0.032
41_2_41_p0,0.035,0.016,0.069,0.033
41_2_42_p0,0.03,0.007,0.055,0.019
41_2_43_p0,0.031,0.009,0.067,0.035
41_2_44_p0,0.028,0.004,0.055,0.014
41_2_45_p0,0.027,0.007,0.052,0.022
41_2_46_p0,0.035,0.016,0.069,0.033
41_2_47_p0,0.032,0.01,0.063,0.023
41_2_4_p0,0.035,0.012,0.074,0.034
41_2_50_p1,0.027,0.001,0.064,0.009
41_2_51_p1,0.028,0.001,0.06,0.007
41_2_52_p1,0.029,0.002,0.057,0.006
41_2_53_p1,0.026,0.001,0.055,0.007
41_2_54_p1,0.025,0.002,0.052,0.008
41_2_55_p1,0.026,0.002,0.054,0.004
41_2_56_p1,0.028,0.002,0.059,0.007
41_2_57_p1,0.028,0.001,0.056,0.004
41_2_58_p1,0.026,0.002,0.058,0.007
41_2_59_p1,0.027,0.002,0.059,0.005
41_2_5_p0,0.036,0.016,0.082,0.037
41_2_60_p1,0.026,0.001,0.053,0.005
41_2_61_p1,0.029,0.002,0.054,0.005
41_2_62_p1,0.027,0.002,0.054,0.004
41_2_63_p1,0.029,0.001,0.059,0.004
41_2_64_p1,0.027,0.001,0.058,0.004
41_2_65_p1,0.027,0.002,0.059,0.004
41_2_66_p1,0.026,0.001,0.063,0.006
41_2_6_p0,0.041,0.011,0.103,0.036
41_2_70_p0,0.033,0.009,0.071,0.032
41_2_71_p0,0.031,0.005,0.07,0.018
41_2_72_p0,0.031,0.007,0.07,0.02
41_2_73_p0,0.029,0.005,0.065,0.018
41_2_74_p0,0.027,0.003,0.054,0.013
41_2_75_p0,0.026,0.003,0.049,0.011
41_2_76_p0,0.028,0.006,0.055,0.021
41_2_77_p0,0.027,0.005,0.053,0.02
41_2_78_p0,0.033,0.009,0.07,0.027
41_2_79_p0,0.029,0.005,0.06,0.02
41_2_7_p0,0.032,0.007,0.063,0.024
41_2_80_p0,0.029,0.005,0.059,0.019
41_2_81_p0,0.028,0.005,0.063,0.016
41_2_82_p0,0.026,0.004,0.056,0.018
41_2_83_p0,0.031,0.009,0.068,0.033
41_2_87_p1,0.027,0.003,0.054,0.008
41_2_88_p1,0.029,0.003,0.061,0.015
41_2_89_p1,0.046,0.025,0.103,0.066
41_2_8_p0,0.035,0.015,0.075,0.037
41_2_90_p1,0.045,0.025,0.099,0.064
41_2_91_p1,0.034,0.007,0.081,0.027
41_2_92_p1,0.031,0.004,0.074,0.019
41_2_93_p1,0.031,0.003,0.067,0.017
41_2_94_p1,0.035,0.007,0.076,0.02
41_2_95_p1,0.03,0.003,0.059,0.012
41_2_96_p1,0.032,0.005,0.068,0.02
41_2_97_p1,0.031,0.003,0.06,0.005
41_2_98_p1,0.029,0.002,0.055,0.007
41_2_99_p1,0.028,0.002,0.056,0.011
41_2_9_p0,0.031,0.011,0.066,0.027
43_1_0_p0,0.026,0.002,0.047,0.007
43_1_10_p1,0.033,0.007,0.065,0.016
43_1_11_p1,0.028,0.005,0.058,0.021
43_1_12_p1,0.027,0.002,0.047,0.008
43_1_13_p1,0.035,0.014,0.079,0.051
43_1_14_p1,0.029,0.004,0.06,0.017
43_1_15_p1,0.026,0.003,0.054,0.015
43_1_18_p0,0.03,0.003,0.059,0.011
43_1_19_p0,0.035,0.004,0.076,0.019
43_1_1_p0,0.027,0.003,0.046,0.006
43_1_20_p0,0.034,0.006,0.063,0.012
43_1_21_p0,0.03,0.004,0.052,0.009
43_1_22_p0,0.028,0.003,0.051,0.009
43_1_23_p0,0.029,0.004,0.054,0.018
43_1_24_p0,0.03,0.007,0.06,0.021
43_1_27_p1,0.036,0.009,0.083,0.027
43_1_28_p1,0.032,0.007,0.07,0.014
43_1_29_p1,0.033,0.005,0.068,0.008
43_1_2_p0,0.028,0.004,0.049,0.004
43_1_30_p1,0.032,0.003,0.073,0.013
43_1_31_p1,0.031,0.006,0.064,0.014
43_1_32_p1,0.039,0.012,0.099,0.047
43_1_33_p1,0.029,0.003,0.053,0.007
43_1_36_p0,0.025,0.002,0.043,0.005
43_1_37_p0,0.026,0.002,0.046,0.007
43_1_38_p0,0.025,0.002,0.043,0.008
43_1_39_p0,0.026,0.001,0.044,0.006
43_1_3_p0,0.025,0.001,0.043,0.003
43_1_40_p0,0.025,0.002,0.043,0.005
43_1_41_p0,0.024,0.002,0.043,0.008
43_1_42_p0,0.025,0.002,0.044,0.005
43_1_45_p1,0.03,0.004,0.052,0.007
43_1_46_p1,0.029,0.002,0.051,0.011
43_1_47_p1,0.029,0.003,0.055,0.006
43_1_48_p1,0.028,0.003,0.051,0.006
43_1_49_p1,0.029,0.004,0.053,0.005
43_1_4_p0,0.026,0.001,0.044,0.004
43_1_50_p1,0.029,0.003,0.053,0.006
43_1_51_p1,0.029,0.003,0.053,0.004
43_1_5_p0,0.033,0.003,0.061,0.008
43_1_6_p0,0.025,0.002,0.046,0.006
43_1_9_p1,0.027,0.002,0.051,0.008
43_1_tpose_p0,0.028,0.0,0.045,0.002
43_1_tpose_p1,0.026,0.001,0.044,0.003
44_1_11_p1,0.034,0.005,0.061,0.008
44_1_12_p1,0.03,0.002,0.054,0.008
44_1_13_p1,0.033,0.002,0.059,0.012
44_1_14_p1,0.032,0.002,0.054,0.009
44_1_15_p1,0.029,0.001,0.052,0.007
44_1_16_p1,0.028,0.002,0.049,0.005
44_1_17_p1,0.031,0.003,0.056,0.01
44_1_20_p0,0.022,0.001,0.037,0.004
44_1_21_p0,0.023,0.001,0.04,0.004
44_1_22_p0,0.024,0.001,0.042,0.005
44_1_23_p0,0.021,0.001,0.036,0.004
44_1_24_p0,0.021,0.002,0.035,0.006
44_1_25_p0,0.025,0.003,0.045,0.01
44_1_26_p0,0.022,0.002,0.039,0.005
44_1_29_p1,0.035,0.001,0.062,0.003
44_1_2_p0,0.027,0.003,0.055,0.017
44_1_30_p1,0.033,0.001,0.055,0.005
44_1_31_p1,0.031,0.001,0.051,0.005
44_1_32_p1,0.028,0.001,0.049,0.003
44_1_33_p1,0.029,0.001,0.049,0.003
