"term_type","parameter","m0","m1","m2","m3","m4"
"random_cor","cor(Intercept x correction2M1:expressibility_z) | pcn_ID","—","—","—","—","-0.024 [-0.449, 0.408]"
"random_cor","cor(Intercept x correction2M1:modality1) | concept","—","—","—","—","0.051 [-0.486, 0.559]"
"random_cor","cor(Intercept x correction2M1:modality1) | pcn_ID","—","—","—","—","0.023 [-0.413, 0.444]"
"random_cor","cor(Intercept x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.014 [-0.444, 0.424]"
"random_cor","cor(Intercept x correction3M2) | concept","—","0.002 [-0.591, 0.595]","-0.011 [-0.564, 0.556]","—","-0.012 [-0.536, 0.517]"
"random_cor","cor(Intercept x correction3M2) | pcn_ID","—","0.047 [-0.530, 0.612]","0.018 [-0.529, 0.552]","—","0.014 [-0.423, 0.445]"
"random_cor","cor(Intercept x correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.067 [-0.383, 0.492]"
"random_cor","cor(Intercept x correction3M2:modality1) | concept","—","—","—","—","0.019 [-0.515, 0.542]"
"random_cor","cor(Intercept x correction3M2:modality1) | pcn_ID","—","—","—","—","0.019 [-0.422, 0.454]"
"random_cor","cor(Intercept x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.032 [-0.409, 0.462]"
"random_cor","cor(Intercept x expressibility_z) | pcn_ID","—","—","-0.128 [-0.421, 0.167]","—","-0.091 [-0.367, 0.187]"
"random_cor","cor(Intercept x modality1) | concept","—","—","0.156 [-0.127, 0.426]","—","0.162 [-0.121, 0.430]"
"random_cor","cor(Intercept x modality1) | pcn_ID","—","—","0.056 [-0.253, 0.375]","—","0.024 [-0.259, 0.315]"
"random_cor","cor(Intercept x modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.013 [-0.403, 0.368]"
"random_cor","cor(correction2M1 x correction2M1:expressibility_z) | pcn_ID","—","—","—","—","0.011 [-0.436, 0.450]"
"random_cor","cor(correction2M1 x correction2M1:modality1) | concept","—","—","—","—","-0.002 [-0.536, 0.526]"
"random_cor","cor(correction2M1 x correction2M1:modality1) | pcn_ID","—","—","—","—","-0.029 [-0.470, 0.427]"
"random_cor","cor(correction2M1 x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.011 [-0.451, 0.435]"
"random_cor","cor(correction2M1 x correction3M2) | concept","—","-0.024 [-0.623, 0.594]","-0.020 [-0.595, 0.563]","—","-0.017 [-0.553, 0.520]"
"random_cor","cor(correction2M1 x correction3M2) | pcn_ID","—","-0.023 [-0.622, 0.589]","-0.021 [-0.574, 0.541]","—","-0.013 [-0.465, 0.437]"
"random_cor","cor(correction2M1 x correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.003 [-0.437, 0.440]"
"random_cor","cor(correction2M1 x correction3M2:modality1) | concept","—","—","—","—","0.000 [-0.534, 0.529]"
"random_cor","cor(correction2M1 x correction3M2:modality1) | pcn_ID","—","—","—","—","-0.007 [-0.453, 0.439]"
"random_cor","cor(correction2M1 x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.003 [-0.439, 0.448]"
"random_cor","cor(correction2M1 x expressibility_z) | pcn_ID","—","—","0.048 [-0.485, 0.554]","—","0.017 [-0.421, 0.446]"
"random_cor","cor(correction2M1 x modality1) | concept","—","—","-0.044 [-0.577, 0.521]","—","-0.051 [-0.547, 0.474]"
"random_cor","cor(correction2M1 x modality1) | pcn_ID","—","—","0.008 [-0.530, 0.539]","—","-0.029 [-0.456, 0.410]"
"random_cor","cor(correction2M1 x modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.003 [-0.438, 0.439]"
"random_cor","cor(correction2M1:expressibility_z x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.030 [-0.471, 0.418]"
"random_cor","cor(correction2M1:expressibility_z x correction3M2:expressibility_z) | pcn_ID","—","—","—","—","-0.024 [-0.466, 0.426]"
"random_cor","cor(correction2M1:expressibility_z x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.023 [-0.471, 0.431]"
"random_cor","cor(correction2M1:expressibility_z x modality1:expressibility_z) | pcn_ID","—","—","—","—","0.047 [-0.399, 0.484]"
"random_cor","cor(correction2M1:modality1 x correction2M1:expressibility_z) | pcn_ID","—","—","—","—","-0.020 [-0.460, 0.414]"
"random_cor","cor(correction2M1:modality1 x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.010 [-0.435, 0.455]"
"random_cor","cor(correction2M1:modality1 x correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.005 [-0.444, 0.458]"
"random_cor","cor(correction2M1:modality1 x correction3M2:modality1) | concept","—","—","—","—","-0.019 [-0.544, 0.518]"
"random_cor","cor(correction2M1:modality1 x correction3M2:modality1) | pcn_ID","—","—","—","—","-0.013 [-0.454, 0.437]"
"random_cor","cor(correction2M1:modality1 x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.017 [-0.433, 0.457]"
"random_cor","cor(correction2M1:modality1 x modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.019 [-0.457, 0.422]"
"random_cor","cor(correction2M1:modality1:expressibility_z x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.010 [-0.452, 0.430]"
"random_cor","cor(correction3M2 x correction2M1:expressibility_z) | pcn_ID","—","—","—","—","0.001 [-0.445, 0.443]"
"random_cor","cor(correction3M2 x correction2M1:modality1) | concept","—","—","—","—","-0.001 [-0.531, 0.528]"
"random_cor","cor(correction3M2 x correction2M1:modality1) | pcn_ID","—","—","—","—","-0.015 [-0.455, 0.430]"
"random_cor","cor(correction3M2 x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.018 [-0.458, 0.433]"
"random_cor","cor(correction3M2 x correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.007 [-0.436, 0.444]"
"random_cor","cor(correction3M2 x correction3M2:modality1) | concept","—","—","—","—","-0.016 [-0.551, 0.521]"
"random_cor","cor(correction3M2 x correction3M2:modality1) | pcn_ID","—","—","—","—","-0.022 [-0.461, 0.423]"
"random_cor","cor(correction3M2 x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.006 [-0.451, 0.437]"
"random_cor","cor(correction3M2 x expressibility_z) | pcn_ID","—","—","0.023 [-0.521, 0.557]","—","0.005 [-0.439, 0.440]"
"random_cor","cor(correction3M2 x modality1) | concept","—","—","-0.028 [-0.584, 0.539]","—","-0.009 [-0.522, 0.523]"
"random_cor","cor(correction3M2 x modality1) | pcn_ID","—","—","-0.041 [-0.578, 0.512]","—","-0.041 [-0.472, 0.401]"
"random_cor","cor(correction3M2 x modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.002 [-0.445, 0.443]"
"random_cor","cor(correction3M2:expressibility_z x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.004 [-0.442, 0.431]"
"random_cor","cor(correction3M2:expressibility_z x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.012 [-0.455, 0.429]"
"random_cor","cor(correction3M2:expressibility_z x modality1:expressibility_z) | pcn_ID","—","—","—","—","0.009 [-0.435, 0.450]"
"random_cor","cor(correction3M2:modality1 x correction2M1:expressibility_z) | pcn_ID","—","—","—","—","-0.008 [-0.448, 0.436]"
"random_cor","cor(correction3M2:modality1 x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.003 [-0.448, 0.443]"
"random_cor","cor(correction3M2:modality1 x correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.003 [-0.447, 0.449]"
"random_cor","cor(correction3M2:modality1 x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.013 [-0.426, 0.452]"
"random_cor","cor(correction3M2:modality1 x modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.001 [-0.445, 0.444]"
"random_cor","cor(expressibility_z x correction2M1:expressibility_z) | pcn_ID","—","—","—","—","-0.012 [-0.437, 0.419]"
"random_cor","cor(expressibility_z x correction2M1:modality1) | pcn_ID","—","—","—","—","0.105 [-0.350, 0.522]"
"random_cor","cor(expressibility_z x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.039 [-0.404, 0.474]"
"random_cor","cor(expressibility_z x correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.010 [-0.433, 0.446]"
"random_cor","cor(expressibility_z x correction3M2:modality1) | pcn_ID","—","—","—","—","0.085 [-0.376, 0.517]"
"random_cor","cor(expressibility_z x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.043 [-0.400, 0.474]"
"random_cor","cor(expressibility_z x modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.198 [-0.564, 0.262]"
"random_cor","cor(modality1 x correction2M1:expressibility_z) | pcn_ID","—","—","—","—","0.002 [-0.428, 0.437]"
"random_cor","cor(modality1 x correction2M1:modality1) | concept","—","—","—","—","0.050 [-0.476, 0.551]"
"random_cor","cor(modality1 x correction2M1:modality1) | pcn_ID","—","—","—","—","0.094 [-0.357, 0.519]"
"random_cor","cor(modality1 x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.034 [-0.410, 0.461]"
"random_cor","cor(modality1 x correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.009 [-0.426, 0.445]"
"random_cor","cor(modality1 x correction3M2:modality1) | concept","—","—","—","—","0.071 [-0.472, 0.584]"
"random_cor","cor(modality1 x correction3M2:modality1) | pcn_ID","—","—","—","—","0.044 [-0.400, 0.470]"
"random_cor","cor(modality1 x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.044 [-0.402, 0.476]"
"random_cor","cor(modality1 x expressibility_z) | pcn_ID","—","—","-0.043 [-0.361, 0.280]","—","0.027 [-0.272, 0.319]"
"random_cor","cor(modality1 x modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.133 [-0.501, 0.275]"
"random_cor","cor(modality1:expressibility_z x correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.008 [-0.450, 0.437]"
"random_cor","cor(modality1:expressibility_z x correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","-0.003 [-0.445, 0.438]"
