"term_type","parameter","m0","m1","m2","m3","m4"
"fixed","correction3M2","0.013 [-0.039, 0.067]","0.02 [-0.028, 0.069]","0.016 [-0.032, 0.064]","0.016 [-0.033, 0.065]","0.066 [-0.587, 0.719]"
"fixed","correction3M2:BFI_extra","—","—","—","—","-0.257 [-1.406, 0.886]"
"fixed","correction3M2:Familiarity","—","—","—","—","0.28 [-0.885, 1.45]"
"fixed","correction3M2:expressibility_z","—","—","—","—","0.207 [-0.973, 1.392]"
"fixed","correction3M2:modality1","—","—","—","—","2.377 [0.058, 4.665] *"
"fixed","expressibility_z","—","0.018 [-0.015, 0.05]","0.019 [-0.016, 0.053]","0.02 [-0.014, 0.054]","0.455 [-0.079, 0.984]"
"fixed","modality1","—","-0.013 [-0.045, 0.018]","-0.011 [-0.057, 0.036]","-0.011 [-0.059, 0.038]","-0.149 [-0.754, 0.459]"
"fixed","modality1:expressibility_z","—","—","—","—","0.418 [-0.424, 1.253]"
"random_sd","sd() | residual__","0.431 [0.42, 0.443]","0.373 [0.363, 0.385]","0.362 [0.351, 0.373]","0.362 [0.351, 0.374]","9.333 [9.104, 9.566]"
"random_sd","sd(BFI_extra) | SessionID","—","—","0.089 [0.013, 0.154]","0.082 [0.011, 0.145]","0.903 [0.076, 1.64]"
"random_sd","sd(Familiarity) | SessionID","—","—","0.031 [0.001, 0.085]","0.032 [0.001, 0.09]","0.564 [0.025, 1.475]"
"random_sd","sd(Intercept) | SessionID","—","0.094 [0.02, 0.148]","0.086 [0.012, 0.143]","0.089 [0.016, 0.144]","5.233 [4.651, 5.776]"
"random_sd","sd(Intercept) | concept","—","0.138 [0.11, 0.171]","0.137 [0.11, 0.169]","0.138 [0.111, 0.169]","3.267 [2.736, 3.868]"
"random_sd","sd(Intercept) | pcn_ID","—","0.143 [0.108, 0.185]","0.119 [0.073, 0.167]","0.121 [0.074, 0.169]","2.076 [1.329, 2.724]"
"random_sd","sd(correction2M1) | concept","—","0.031 [0.001, 0.08]","0.031 [0.001, 0.08]","0.031 [0.001, 0.079]","0.298 [0.012, 0.831]"
"random_sd","sd(correction2M1) | pcn_ID","—","0.047 [0.003, 0.104]","0.053 [0.003, 0.109]","0.055 [0.004, 0.111]","0.324 [0.013, 0.911]"
"random_sd","sd(correction2M1:modality1) | pcn_ID","—","—","—","—","0.284 [0.012, 0.786]"
"random_sd","sd(correction3M2) | concept","—","0.041 [0.002, 0.107]","0.043 [0.002, 0.109]","0.045 [0.002, 0.11]","0.284 [0.012, 0.793]"
"random_sd","sd(correction3M2) | pcn_ID","—","0.049 [0.002, 0.119]","0.042 [0.002, 0.107]","0.044 [0.002, 0.111]","0.29 [0.012, 0.809]"
"random_sd","sd(correction3M2:modality1) | pcn_ID","—","—","—","—","0.283 [0.01, 0.798]"
"random_sd","sd(expressibility_z) | pcn_ID","—","—","0.032 [0.003, 0.062]","0.024 [0.001, 0.056]","—"
"random_sd","sd(modality1) | concept","—","—","0.07 [0.007, 0.13]","0.074 [0.009, 0.13]","0.333 [0.013, 0.922]"
"random_sd","sd(modality1) | pcn_ID","—","—","0.16 [0.118, 0.204]","0.162 [0.12, 0.206]","0.677 [0.03, 1.619]"
"random_cor","cor(BFI_extra x Familiarity) | SessionID","—","—","-0.067 [-0.639, 0.555]","—","—"
"random_cor","cor(Intercept x BFI_extra) | SessionID","—","—","0.075 [-0.444, 0.554]","—","—"
"random_cor","cor(Intercept x Familiarity) | SessionID","—","—","0.057 [-0.547, 0.632]","—","—"
"random_cor","cor(Intercept x correction2M1) | concept","—","-0.119 [-0.659, 0.485]","-0.098 [-0.618, 0.469]","—","—"
"random_cor","cor(Intercept x correction2M1) | pcn_ID","—","-0.094 [-0.607, 0.457]","-0.111 [-0.594, 0.397]","—","—"
"random_cor","cor(Intercept x correction3M2) | concept","—","-0.059 [-0.612, 0.531]","-0.058 [-0.577, 0.489]","—","—"
"random_cor","cor(Intercept x correction3M2) | pcn_ID","—","-0.168 [-0.686, 0.436]","-0.075 [-0.594, 0.487]","—","—"
"random_cor","cor(Intercept x expressibility_z) | pcn_ID","—","—","-0.029 [-0.507, 0.458]","—","—"
"random_cor","cor(Intercept x modality1) | concept","—","—","0.002 [-0.446, 0.448]","—","—"
"random_cor","cor(Intercept x modality1) | pcn_ID","—","—","-0.251 [-0.577, 0.092]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | concept","—","-0.030 [-0.617, 0.574]","-0.033 [-0.595, 0.554]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | pcn_ID","—","0.073 [-0.534, 0.649]","0.051 [-0.511, 0.586]","—","—"
"random_cor","cor(correction2M1 x expressibility_z) | pcn_ID","—","—","0.105 [-0.458, 0.609]","—","—"
"random_cor","cor(correction2M1 x modality1) | concept","—","—","-0.000 [-0.574, 0.570]","—","—"
"random_cor","cor(correction2M1 x modality1) | pcn_ID","—","—","0.102 [-0.407, 0.562]","—","—"
"random_cor","cor(correction3M2 x expressibility_z) | pcn_ID","—","—","-0.009 [-0.552, 0.535]","—","—"
"random_cor","cor(correction3M2 x modality1) | concept","—","—","0.049 [-0.530, 0.594]","—","—"
"random_cor","cor(correction3M2 x modality1) | pcn_ID","—","—","0.033 [-0.503, 0.554]","—","—"
"random_cor","cor(modality1 x expressibility_z) | pcn_ID","—","—","0.338 [-0.207, 0.722]","—","—"
