TrialID,effort_category,modality_specific_effort_category,COP_tertile,arm_tertile,envelope_tertile
10_2_102_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
10_2_10_p0,High Effort,Medium Effort,2nd,2nd,3rd
10_2_13_p0,Medium Effort,Low Effort,1st,2nd,1st
10_2_21_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
10_2_24_p1,Medium Effort,Medium Effort,2nd,2nd,1st
10_2_27_p1,Medium Effort,Medium Effort,2nd,2nd,1st
10_2_30_p1,Medium Effort,Low Effort,2nd,1st,1st
10_2_33_p1,High Effort,High Effort,3rd,3rd,3rd
10_2_38_p0,Medium Effort,Low Effort,1st,2nd,2nd
10_2_44_p0,Medium Effort,Low Effort,1st,2nd,2nd
10_2_46_p0,High Effort,Medium Effort,2nd,2nd,3rd
10_2_4_p0,Medium Effort,Medium Effort,2nd,2nd,1st
10_2_53_p1,High Effort,High Effort,3rd,3rd,3rd
10_2_56_p1,High Effort,Medium Effort,3rd,1st,3rd
10_2_66_p0,Medium Effort,Low Effort,1st,1st,2nd
10_2_69_p0,Medium Effort,Medium Effort,1st,2nd,3rd
10_2_72_p0,Medium Effort,Medium Effort,1st,2nd,3rd
10_2_75_p0,Medium Effort,Medium Effort,1st,1st,3rd
10_2_78_p0,Medium Effort,Medium Effort,2nd,1st,3rd
10_2_81_p0,Medium Effort,Medium Effort,1st,1st,3rd
10_2_8_p0,Medium Effort,Medium Effort,2nd,2nd,1st
10_2_90_p1,Medium Effort,Medium Effort,2nd,1st,2nd
10_2_94_p1,High Effort,High Effort,3rd,2nd,3rd
10_2_96_p1,Medium Effort,Low Effort,2nd,1st,1st
10_2_99_p1,Medium Effort,Medium Effort,1st,1st,3rd
11_2_102_p1,High Effort,Medium Effort,3rd,2nd,2nd
11_2_105_p1,Medium Effort,Low Effort,2nd,1st,2nd
11_2_109_p1,High Effort,High Effort,3rd,3rd,1st
11_2_12_p0,Medium Effort,Medium Effort,2nd,1st,3rd
11_2_15_p0,Low Effort,Low Effort,1st,1st,1st
11_2_24_p1,Medium Effort,Medium Effort,2nd,1st,2nd
11_2_28_p1,Low Effort,Low Effort,1st,1st,1st
11_2_31_p1,Medium Effort,Low Effort,1st,1st,2nd
11_2_34_p1,Medium Effort,Medium Effort,2nd,1st,3rd
11_2_37_p1,Medium Effort,Medium Effort,2nd,1st,2nd
11_2_3_p0,Low Effort,Low Effort,1st,1st,1st
11_2_44_p0,Medium Effort,Low Effort,2nd,1st,1st
11_2_47_p0,High Effort,Medium Effort,2nd,3rd,2nd
11_2_52_p0,Medium Effort,Low Effort,1st,1st,3rd
11_2_61_p1,High Effort,Medium Effort,2nd,2nd,3rd
11_2_64_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
11_2_6_p0,Medium Effort,Low Effort,1st,1st,2nd
11_2_71_p1,Low Effort,Low Effort,1st,1st,1st
11_2_75_p0,Medium Effort,Medium Effort,2nd,2nd,1st
11_2_78_p0,Medium Effort,Low Effort,2nd,1st,1st
11_2_81_p0,Medium Effort,Low Effort,2nd,1st,1st
11_2_85_p0,Low Effort,Low Effort,1st,1st,1st
11_2_88_p0,Low Effort,Low Effort,1st,1st,1st
11_2_98_p1,Low Effort,Low Effort,1st,1st,1st
11_2_9_p0,Medium Effort,Medium Effort,2nd,1st,2nd
12_2_102_p1,Medium Effort,Low Effort,3rd,1st,1st
12_2_105_p1,High Effort,High Effort,3rd,3rd,3rd
12_2_108_p1,Medium Effort,Medium Effort,2nd,3rd,1st
12_2_10_p0,Low Effort,Low Effort,1st,1st,1st
12_2_12_p0,Medium Effort,Medium Effort,2nd,3rd,1st
12_2_14_p0,Medium Effort,Low Effort,1st,2nd,1st
12_2_16_p0,Low Effort,Low Effort,1st,1st,1st
12_2_23_p1,High Effort,High Effort,3rd,3rd,1st
12_2_26_p1,Medium Effort,Medium Effort,3rd,2nd,1st
12_2_28_p1,Low Effort,Low Effort,1st,1st,1st
12_2_31_p1,High Effort,High Effort,3rd,3rd,1st
12_2_34_p1,Medium Effort,Medium Effort,2nd,3rd,1st
12_2_37_p1,High Effort,High Effort,3rd,3rd,1st
12_2_44_p0,Low Effort,Low Effort,1st,1st,1st
12_2_47_p0,Low Effort,Low Effort,1st,1st,1st
12_2_4_p0,Medium Effort,Low Effort,1st,2nd,1st
12_2_50_p0,Low Effort,Low Effort,1st,1st,1st
12_2_55_p0,Medium Effort,Low Effort,1st,1st,2nd
12_2_58_p0,Low Effort,Low Effort,1st,1st,1st
12_2_65_p1,Low Effort,Low Effort,1st,1st,1st
12_2_68_p1,Medium Effort,Low Effort,1st,1st,2nd
12_2_6_p0,Low Effort,Low Effort,1st,1st,1st
12_2_71_p1,Low Effort,Low Effort,1st,1st,1st
12_2_75_p1,Medium Effort,Low Effort,1st,1st,2nd
12_2_79_p1,Medium Effort,Low Effort,2nd,1st,1st
12_2_86_p0,Medium Effort,Low Effort,2nd,1st,1st
12_2_88_p0,Medium Effort,Low Effort,1st,2nd,1st
12_2_90_p0,Low Effort,Low Effort,1st,1st,1st
12_2_94_p0,Low Effort,Low Effort,1st,1st,1st
13_2_100_p1,Medium Effort,Medium Effort,3rd,2nd,1st
13_2_105_p1,Medium Effort,Low Effort,3rd,1st,1st
13_2_11_p0,Medium Effort,Low Effort,1st,1st,2nd
13_2_14_p0,Medium Effort,Medium Effort,1st,1st,3rd
13_2_17_p0,Medium Effort,Low Effort,1st,1st,2nd
13_2_21_p0,Medium Effort,Low Effort,2nd,1st,1st
13_2_28_p1,High Effort,Medium Effort,2nd,3rd,3rd
13_2_31_p1,High Effort,Medium Effort,2nd,3rd,2nd
13_2_34_p1,Low Effort,Low Effort,1st,1st,1st
13_2_36_p1,Medium Effort,Low Effort,1st,2nd,1st
13_2_39_p1,Medium Effort,Low Effort,2nd,1st,1st
13_2_42_p1,Medium Effort,Medium Effort,1st,2nd,3rd
13_2_45_p1,Medium Effort,Low Effort,1st,2nd,2nd
13_2_51_p0,Medium Effort,Low Effort,1st,1st,2nd
13_2_57_p0,Medium Effort,Medium Effort,2nd,2nd,1st
13_2_59_p0,Low Effort,Low Effort,1st,1st,1st
13_2_5_p0,Medium Effort,Low Effort,1st,2nd,2nd
13_2_67_p1,Medium Effort,Medium Effort,3rd,2nd,1st
13_2_69_p1,Medium Effort,Medium Effort,3rd,2nd,1st
13_2_71_p1,High Effort,High Effort,3rd,3rd,1st
13_2_83_p0,High Effort,Medium Effort,2nd,3rd,3rd
13_2_87_p0,Medium Effort,Low Effort,2nd,1st,1st
13_2_8_p0,Medium Effort,Low Effort,1st,1st,2nd
13_2_95_p1,High Effort,Medium Effort,3rd,2nd,2nd
13_2_97_p1,High Effort,Medium Effort,3rd,2nd,3rd
14_2_101_p1,Medium Effort,Medium Effort,2nd,1st,3rd
14_2_103_p1,Medium Effort,Low Effort,2nd,2nd,1st
14_2_12_p0,High Effort,High Effort,3rd,3rd,3rd
14_2_17_p0,High Effort,Medium Effort,3rd,3rd,2nd
14_2_22_p1,Medium Effort,Low Effort,1st,2nd,1st
14_2_26_p1,High Effort,Medium Effort,2nd,2nd,3rd
14_2_28_p1,High Effort,Medium Effort,3rd,2nd,3rd
14_2_48_p1,Medium Effort,Medium Effort,3rd,1st,1st
14_2_52_p1,Medium Effort,Medium Effort,2nd,2nd,1st
14_2_58_p1,Medium Effort,Medium Effort,2nd,3rd,1st
14_2_5_p0,High Effort,Medium Effort,2nd,2nd,3rd
14_2_66_p0,Medium Effort,Low Effort,1st,1st,2nd
14_2_69_p0,Medium Effort,Low Effort,1st,1st,2nd
14_2_72_p0,Medium Effort,Low Effort,1st,1st,2nd
14_2_75_p0,Medium Effort,Low Effort,1st,1st,2nd
14_2_80_p0,Medium Effort,Low Effort,1st,1st,2nd
14_2_87_p1,Medium Effort,Low Effort,2nd,1st,1st
14_2_8_p0,Medium Effort,Medium Effort,3rd,2nd,1st
14_2_90_p1,Medium Effort,Medium Effort,3rd,1st,2nd
14_2_92_p1,Medium Effort,Medium Effort,2nd,1st,2nd
14_2_95_p1,High Effort,High Effort,3rd,2nd,3rd
14_2_98_p1,Medium Effort,Medium Effort,2nd,1st,2nd
15_2_101_p1,High Effort,Medium Effort,3rd,2nd,3rd
15_2_11_p0,High Effort,High Effort,3rd,3rd,3rd
15_2_19_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
15_2_22_p1,High Effort,Medium Effort,3rd,3rd,2nd
15_2_24_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
15_2_28_p1,High Effort,Medium Effort,2nd,3rd,2nd
15_2_2_p0,Medium Effort,Medium Effort,2nd,3rd,1st
15_2_38_p0,High Effort,Medium Effort,3rd,2nd,2nd
15_2_41_p0,Medium Effort,Medium Effort,1st,2nd,3rd
15_2_45_p0,Medium Effort,Medium Effort,3rd,1st,2nd
15_2_47_p0,High Effort,High Effort,3rd,3rd,3rd
15_2_49_p0,Medium Effort,Medium Effort,3rd,1st,2nd
15_2_56_p1,Medium Effort,Low Effort,1st,2nd,1st
15_2_59_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
15_2_5_p0,High Effort,High Effort,3rd,3rd,3rd
15_2_62_p1,High Effort,Medium Effort,3rd,3rd,2nd
15_2_65_p1,Medium Effort,Low Effort,1st,2nd,2nd
15_2_68_p1,Medium Effort,Low Effort,2nd,1st,1st
15_2_70_p1,High Effort,Medium Effort,2nd,3rd,2nd
15_2_77_p0,Medium Effort,Medium Effort,3rd,2nd,1st
15_2_80_p0,High Effort,High Effort,3rd,3rd,2nd
15_2_84_p0,Medium Effort,Medium Effort,3rd,1st,2nd
15_2_88_p0,High Effort,Medium Effort,2nd,2nd,3rd
15_2_8_p0,Medium Effort,Medium Effort,3rd,2nd,1st
15_2_93_p1,High Effort,Medium Effort,3rd,2nd,3rd
15_2_97_p1,Medium Effort,Medium Effort,3rd,1st,2nd
17_2_103_p1,Medium Effort,Medium Effort,3rd,2nd,1st
17_2_109_p1,Low Effort,Low Effort,1st,1st,1st
17_2_10_p0,Medium Effort,Low Effort,2nd,1st,1st
17_2_112_p1,Medium Effort,Medium Effort,3rd,2nd,1st
17_2_15_p0,Low Effort,Low Effort,1st,1st,1st
17_2_22_p1,Medium Effort,Low Effort,2nd,1st,1st
17_2_27_p1,Medium Effort,Low Effort,2nd,1st,1st
17_2_31_p1,Medium Effort,Low Effort,2nd,1st,1st
17_2_33_p1,Medium Effort,Medium Effort,3rd,2nd,1st
17_2_39_p0,Medium Effort,Low Effort,1st,2nd,2nd
17_2_3_p0,High Effort,High Effort,3rd,3rd,1st
17_2_42_p0,Medium Effort,Low Effort,1st,2nd,1st
17_2_45_p0,Medium Effort,Low Effort,1st,2nd,2nd
17_2_48_p0,Low Effort,Low Effort,1st,1st,1st
17_2_51_p0,Medium Effort,Medium Effort,1st,1st,3rd
17_2_54_p0,Medium Effort,Medium Effort,2nd,1st,3rd
17_2_64_p1,Medium Effort,Medium Effort,1st,1st,3rd
17_2_67_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
17_2_70_p1,Medium Effort,Medium Effort,1st,2nd,3rd
17_2_72_p1,Medium Effort,Low Effort,1st,1st,2nd
17_2_75_p1,High Effort,Medium Effort,2nd,2nd,3rd
17_2_79_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
17_2_7_p0,Low Effort,Low Effort,1st,1st,1st
17_2_88_p0,High Effort,Medium Effort,3rd,3rd,2nd
17_2_90_p0,High Effort,High Effort,3rd,3rd,3rd
17_2_92_p0,High Effort,Medium Effort,3rd,2nd,2nd
17_2_95_p0,High Effort,Medium Effort,3rd,2nd,3rd
17_2_98_p0,High Effort,Medium Effort,3rd,2nd,2nd
18_2_12_p0,Medium Effort,Low Effort,1st,2nd,2nd
18_2_14_p0,Medium Effort,Low Effort,2nd,1st,1st
18_2_17_p0,Medium Effort,Low Effort,2nd,1st,2nd
18_2_24_p1,Medium Effort,Low Effort,1st,2nd,1st
18_2_29_p1,Medium Effort,Low Effort,1st,2nd,1st
18_2_3_p0,Medium Effort,Low Effort,1st,1st,3rd
18_2_6_p0,High Effort,Medium Effort,2nd,3rd,3rd
18_2_8_p0,High Effort,Medium Effort,2nd,3rd,3rd
18_2_101_p1,Medium Effort,Medium Effort,3rd,1st,2nd
18_2_104_p1,Medium Effort,Medium Effort,2nd,3rd,1st
18_2_39_p0,Medium Effort,Low Effort,2nd,2nd,1st
18_2_42_p0,Low Effort,Low Effort,1st,1st,1st
18_2_45_p0,Medium Effort,Low Effort,1st,2nd,1st
18_2_48_p0,Medium Effort,Low Effort,2nd,1st,1st
18_2_51_p0,Low Effort,Low Effort,1st,1st,1st
18_2_59_p1,Medium Effort,Low Effort,1st,2nd,2nd
18_2_62_p1,Low Effort,Low Effort,1st,1st,1st
18_2_65_p1,Medium Effort,Medium Effort,1st,1st,3rd
18_2_67_p1,Medium Effort,Medium Effort,1st,1st,3rd
18_2_71_p1,High Effort,Medium Effort,3rd,2nd,2nd
18_2_76_p0,High Effort,Medium Effort,1st,3rd,3rd
18_2_81_p0,High Effort,Medium Effort,2nd,3rd,3rd
18_2_84_p0,Medium Effort,Low Effort,1st,3rd,1st
18_2_87_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
18_2_93_p1,Medium Effort,Low Effort,1st,2nd,1st
18_2_96_p1,Low Effort,Low Effort,1st,1st,1st
19_2_102_p1,Medium Effort,Low Effort,1st,2nd,1st
19_2_10_p0,High Effort,Medium Effort,2nd,2nd,3rd
19_2_13_p0,Medium Effort,Low Effort,1st,2nd,2nd
19_2_17_p0,Medium Effort,Low Effort,1st,2nd,1st
19_2_25_p1,Medium Effort,Medium Effort,1st,2nd,3rd
19_2_28_p1,Low Effort,Low Effort,1st,1st,1st
19_2_33_p1,High Effort,Medium Effort,2nd,2nd,3rd
19_2_44_p0,Medium Effort,Low Effort,2nd,2nd,1st
19_2_47_p0,Medium Effort,Low Effort,3rd,1st,1st
19_2_50_p0,Medium Effort,Medium Effort,2nd,3rd,1st
19_2_66_p1,High Effort,High Effort,3rd,3rd,3rd
19_2_70_p1,Medium Effort,Low Effort,1st,1st,2nd
19_2_76_p0,Medium Effort,Medium Effort,2nd,3rd,1st
19_2_79_p0,Medium Effort,Low Effort,2nd,1st,1st
19_2_7_p0,Medium Effort,Medium Effort,2nd,1st,2nd
19_2_82_p0,High Effort,High Effort,3rd,3rd,1st
19_2_85_p0,Medium Effort,Medium Effort,3rd,2nd,1st
19_2_92_p1,Medium Effort,Low Effort,1st,2nd,2nd
19_2_95_p1,Medium Effort,Medium Effort,3rd,1st,1st
19_2_97_p1,Medium Effort,Low Effort,1st,1st,2nd
19_2_99_p1,Medium Effort,Medium Effort,2nd,3rd,1st
1_2_10_p0,Low Effort,Low Effort,1st,1st,1st
1_2_13_p0,Medium Effort,Low Effort,1st,2nd,2nd
1_2_16_p0,High Effort,High Effort,3rd,2nd,3rd
1_2_19_p0,High Effort,Medium Effort,3rd,3rd,2nd
1_2_29_p1,Low Effort,Low Effort,1st,1st,1st
1_2_32_p1,Medium Effort,Low Effort,1st,1st,2nd
1_2_35_p1,Low Effort,Low Effort,1st,1st,1st
1_2_38_p1,Low Effort,Low Effort,1st,1st,1st
1_2_41_p1,Low Effort,Low Effort,1st,1st,1st
1_2_44_p1,Low Effort,Low Effort,1st,1st,1st
1_2_47_p1,Medium Effort,Low Effort,1st,2nd,1st
1_2_4_p0,Medium Effort,Low Effort,1st,1st,2nd
1_2_7_p0,Medium Effort,Low Effort,1st,1st,2nd
1_2_100_p0,High Effort,Medium Effort,3rd,3rd,2nd
1_2_105_p0,High Effort,Medium Effort,3rd,3rd,1st
1_2_113_p1,Medium Effort,Low Effort,2nd,1st,1st
1_2_117_p1,Medium Effort,Low Effort,2nd,2nd,1st
1_2_120_p1,Medium Effort,Medium Effort,3rd,1st,2nd
1_2_123_p1,High Effort,Medium Effort,2nd,3rd,3rd
1_2_54_p0,Medium Effort,Low Effort,1st,2nd,2nd
1_2_57_p0,High Effort,Medium Effort,3rd,2nd,3rd
1_2_60_p0,High Effort,High Effort,3rd,3rd,1st
1_2_62_p0,High Effort,High Effort,3rd,3rd,3rd
1_2_65_p0,Medium Effort,Medium Effort,3rd,2nd,1st
1_2_67_p0,Medium Effort,Low Effort,2nd,1st,1st
1_2_69_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
1_2_78_p1,High Effort,High Effort,3rd,3rd,2nd
1_2_81_p1,High Effort,High Effort,3rd,3rd,2nd
1_2_83_p1,Low Effort,Low Effort,1st,1st,1st
1_2_86_p1,High Effort,High Effort,3rd,3rd,1st
1_2_88_p1,High Effort,Medium Effort,2nd,2nd,3rd
1_2_96_p0,High Effort,Medium Effort,3rd,3rd,2nd
20_2_100_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
20_2_102_p1,Medium Effort,Low Effort,1st,2nd,1st
20_2_106_p1,Medium Effort,Low Effort,1st,2nd,2nd
20_2_12_p0,Medium Effort,Medium Effort,2nd,1st,2nd
20_2_15_p0,Medium Effort,Low Effort,2nd,3rd,1st
20_2_18_p0,Medium Effort,Low Effort,2nd,2nd,1st
20_2_24_p1,Low Effort,Low Effort,1st,1st,1st
20_2_27_p1,Low Effort,Low Effort,1st,1st,1st
20_2_30_p1,Medium Effort,Medium Effort,1st,1st,3rd
20_2_33_p1,Medium Effort,Low Effort,1st,1st,2nd
20_2_36_p1,Low Effort,Low Effort,1st,1st,1st
20_2_39_p1,Medium Effort,Low Effort,1st,2nd,2nd
20_2_3_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
20_2_46_p0,Medium Effort,Medium Effort,2nd,3rd,1st
20_2_49_p0,High Effort,Medium Effort,3rd,3rd,1st
20_2_52_p0,High Effort,Medium Effort,2nd,2nd,3rd
20_2_55_p0,Medium Effort,Medium Effort,3rd,1st,2nd
20_2_59_p0,High Effort,Medium Effort,3rd,3rd,2nd
20_2_67_p1,Low Effort,Low Effort,1st,1st,1st
20_2_69_p1,High Effort,Medium Effort,3rd,3rd,2nd
20_2_6_p0,Medium Effort,Medium Effort,2nd,1st,3rd
20_2_71_p1,High Effort,Medium Effort,3rd,3rd,1st
20_2_73_p1,High Effort,Medium Effort,3rd,3rd,1st
20_2_76_p1,Medium Effort,Low Effort,2nd,2nd,1st
20_2_84_p0,Medium Effort,Medium Effort,2nd,2nd,1st
20_2_94_p1,Medium Effort,Medium Effort,2nd,3rd,1st
20_2_98_p1,Low Effort,Low Effort,1st,1st,1st
20_2_9_p0,High Effort,Medium Effort,2nd,3rd,2nd
22_2_100_p1,Medium Effort,Low Effort,1st,1st,3rd
22_2_102_p1,High Effort,Medium Effort,3rd,3rd,1st
22_2_104_p1,Medium Effort,Low Effort,1st,2nd,1st
22_2_106_p1,Medium Effort,Low Effort,1st,2nd,1st
22_2_109_p1,High Effort,Medium Effort,3rd,3rd,1st
22_2_18_p1,Medium Effort,Low Effort,2nd,1st,1st
22_2_21_p1,Low Effort,Low Effort,1st,1st,1st
22_2_23_p1,Medium Effort,Low Effort,1st,2nd,1st
22_2_26_p1,Medium Effort,Medium Effort,2nd,2nd,1st
22_2_29_p1,Medium Effort,Medium Effort,2nd,3rd,1st
22_2_31_p1,Medium Effort,Medium Effort,2nd,2nd,1st
22_2_38_p0,Low Effort,Low Effort,1st,1st,1st
22_2_41_p0,Medium Effort,Medium Effort,2nd,1st,2nd
22_2_45_p0,Low Effort,Low Effort,1st,1st,1st
22_2_48_p0,Low Effort,Low Effort,1st,1st,1st
22_2_4_p0,Low Effort,Low Effort,1st,1st,1st
22_2_52_p0,Medium Effort,Low Effort,1st,1st,2nd
22_2_62_p1,Low Effort,Low Effort,1st,1st,1st
22_2_66_p1,Medium Effort,Low Effort,1st,2nd,1st
22_2_69_p1,Low Effort,Low Effort,1st,1st,1st
22_2_72_p1,Low Effort,Low Effort,1st,1st,1st
22_2_75_p1,Low Effort,Low Effort,1st,1st,1st
22_2_81_p0,Medium Effort,Medium Effort,1st,3rd,2nd
22_2_84_p0,Medium Effort,Low Effort,1st,2nd,2nd
22_2_88_p0,Medium Effort,Medium Effort,2nd,3rd,1st
22_2_91_p0,Medium Effort,Medium Effort,3rd,2nd,1st
22_2_94_p0,Medium Effort,Low Effort,3rd,1st,1st
22_2_9_p0,Medium Effort,Low Effort,2nd,1st,1st
24_2_102_p0,Medium Effort,Low Effort,2nd,1st,2nd
24_2_105_p0,High Effort,Medium Effort,3rd,1st,3rd
24_2_113_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
24_2_117_p1,High Effort,Medium Effort,3rd,3rd,1st
24_2_119_p1,Medium Effort,Low Effort,1st,2nd,1st
24_2_12_p0,High Effort,Medium Effort,2nd,2nd,3rd
24_2_15_p0,Low Effort,Low Effort,1st,1st,1st
24_2_18_p0,Medium Effort,Low Effort,2nd,1st,1st
24_2_26_p1,Medium Effort,Medium Effort,1st,1st,3rd
24_2_29_p1,Low Effort,Low Effort,1st,1st,1st
24_2_32_p1,High Effort,Medium Effort,2nd,2nd,3rd
24_2_35_p1,Medium Effort,Medium Effort,1st,2nd,3rd
24_2_38_p1,Low Effort,Low Effort,1st,1st,1st
24_2_41_p1,Low Effort,Low Effort,1st,1st,1st
24_2_44_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
24_2_52_p0,High Effort,Medium Effort,3rd,2nd,2nd
24_2_54_p0,Low Effort,Low Effort,1st,1st,1st
24_2_56_p0,Medium Effort,Medium Effort,3rd,1st,1st
24_2_59_p0,Medium Effort,Low Effort,2nd,1st,2nd
24_2_63_p0,Medium Effort,Low Effort,2nd,1st,1st
24_2_66_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
24_2_6_p0,Medium Effort,Medium Effort,1st,2nd,3rd
24_2_72_p1,Medium Effort,Medium Effort,2nd,2nd,1st
24_2_74_p1,Medium Effort,Medium Effort,2nd,2nd,1st
24_2_77_p1,High Effort,High Effort,3rd,3rd,2nd
24_2_82_p1,Medium Effort,Low Effort,2nd,1st,1st
24_2_90_p0,Medium Effort,Low Effort,1st,2nd,2nd
24_2_94_p0,Low Effort,Low Effort,1st,1st,1st
24_2_97_p0,Medium Effort,Low Effort,2nd,2nd,1st
24_2_99_p0,High Effort,Medium Effort,3rd,2nd,2nd
24_2_9_p0,Medium Effort,Low Effort,2nd,1st,1st
26_2_103_p1,High Effort,Medium Effort,1st,3rd,3rd
26_2_107_p1,Medium Effort,Low Effort,1st,2nd,3rd
26_2_109_p1,High Effort,Medium Effort,2nd,2nd,3rd
26_2_114_p1,Medium Effort,Low Effort,1st,2nd,3rd
26_2_11_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
26_2_14_p0,Medium Effort,Low Effort,1st,2nd,2nd
26_2_18_p0,Medium Effort,Low Effort,2nd,1st,1st
26_2_27_p1,Medium Effort,Low Effort,1st,2nd,1st
26_2_31_p1,Medium Effort,Medium Effort,1st,2nd,3rd
26_2_34_p1,Medium Effort,Low Effort,1st,1st,2nd
26_2_38_p1,Medium Effort,Low Effort,1st,2nd,1st
26_2_44_p0,High Effort,High Effort,3rd,3rd,3rd
26_2_47_p0,High Effort,Medium Effort,2nd,3rd,2nd
26_2_50_p0,High Effort,Medium Effort,2nd,3rd,2nd
26_2_53_p0,Medium Effort,Medium Effort,3rd,1st,2nd
26_2_56_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
26_2_58_p0,High Effort,Medium Effort,3rd,3rd,1st
26_2_60_p0,High Effort,High Effort,3rd,3rd,3rd
26_2_66_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
26_2_69_p1,Medium Effort,Medium Effort,1st,3rd,2nd
26_2_6_p0,High Effort,Medium Effort,2nd,3rd,3rd
26_2_72_p1,Medium Effort,Low Effort,1st,2nd,2nd
26_2_76_p1,High Effort,Medium Effort,3rd,2nd,2nd
26_2_84_p0,High Effort,High Effort,3rd,3rd,3rd
26_2_87_p0,High Effort,Medium Effort,3rd,2nd,2nd
26_2_90_p0,High Effort,Medium Effort,2nd,3rd,2nd
26_2_94_p0,Medium Effort,Medium Effort,1st,3rd,2nd
26_2_97_p0,High Effort,High Effort,3rd,3rd,3rd
27_2_101_p1,Low Effort,Low Effort,1st,1st,1st
27_2_15_p1,Medium Effort,Medium Effort,3rd,1st,1st
27_2_18_p1,Low Effort,Low Effort,1st,1st,1st
27_2_21_p1,Medium Effort,Low Effort,1st,2nd,2nd
27_2_26_p1,Medium Effort,Low Effort,1st,2nd,1st
27_2_31_p0,Medium Effort,Medium Effort,1st,2nd,3rd
27_2_35_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
27_2_38_p0,Medium Effort,Low Effort,1st,1st,2nd
27_2_41_p0,Low Effort,Low Effort,1st,1st,1st
27_2_48_p1,Medium Effort,Low Effort,2nd,2nd,1st
27_2_51_p1,Medium Effort,Low Effort,1st,1st,2nd
27_2_54_p1,Medium Effort,Medium Effort,2nd,1st,3rd
27_2_59_p1,Medium Effort,Low Effort,2nd,1st,1st
27_2_5_p0,Low Effort,Low Effort,1st,1st,1st
27_2_67_p0,Medium Effort,Low Effort,1st,1st,2nd
27_2_70_p0,Medium Effort,Medium Effort,1st,1st,3rd
27_2_73_p0,Medium Effort,Low Effort,2nd,1st,1st
27_2_76_p0,Medium Effort,Low Effort,1st,1st,2nd
27_2_79_p0,Medium Effort,Low Effort,1st,3rd,2nd
27_2_89_p1,Low Effort,Low Effort,1st,1st,1st
27_2_91_p1,Medium Effort,Medium Effort,1st,1st,3rd
27_2_94_p1,Medium Effort,Medium Effort,1st,1st,3rd
27_2_97_p1,Medium Effort,Medium Effort,1st,1st,3rd
28_2_20_p1,Low Effort,Low Effort,1st,1st,1st
28_2_29_p0,Medium Effort,Low Effort,1st,1st,2nd
28_2_2_p0,Medium Effort,Low Effort,1st,2nd,2nd
28_2_32_p0,Medium Effort,Medium Effort,2nd,1st,3rd
28_2_35_p0,Medium Effort,Low Effort,1st,1st,2nd
28_2_38_p0,Medium Effort,Low Effort,1st,2nd,1st
28_2_41_p0,Medium Effort,Medium Effort,2nd,1st,3rd
28_2_51_p1,Medium Effort,Low Effort,1st,1st,2nd
28_2_54_p1,Medium Effort,Low Effort,1st,2nd,2nd
28_2_57_p1,Medium Effort,Medium Effort,1st,1st,3rd
28_2_60_p1,Medium Effort,Medium Effort,1st,1st,3rd
28_2_63_p1,High Effort,Medium Effort,2nd,2nd,3rd
28_2_67_p1,Medium Effort,Low Effort,2nd,2nd,1st
28_2_6_p0,Medium Effort,Low Effort,1st,1st,3rd
28_2_75_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
28_2_78_p0,High Effort,Medium Effort,2nd,3rd,2nd
28_2_80_p0,High Effort,High Effort,3rd,3rd,1st
28_2_82_p0,Low Effort,Low Effort,1st,1st,1st
28_2_92_p1,High Effort,High Effort,3rd,3rd,3rd
28_2_95_p1,Medium Effort,Low Effort,1st,1st,2nd
29_2_12_p0,Medium Effort,Low Effort,1st,1st,2nd
29_2_19_p1,Medium Effort,Medium Effort,3rd,2nd,1st
29_2_22_p1,Medium Effort,Low Effort,2nd,1st,1st
29_2_36_p0,High Effort,Medium Effort,2nd,3rd,2nd
29_2_39_p0,Medium Effort,Low Effort,1st,1st,2nd
29_2_42_p0,High Effort,Medium Effort,2nd,3rd,2nd
29_2_45_p0,Medium Effort,Low Effort,1st,1st,2nd
29_2_48_p0,Medium Effort,Low Effort,1st,3rd,1st
29_2_55_p1,Low Effort,Low Effort,1st,1st,1st
29_2_58_p1,Low Effort,Low Effort,1st,1st,1st
29_2_5_p0,Medium Effort,Medium Effort,2nd,2nd,1st
29_2_61_p1,Medium Effort,Low Effort,2nd,1st,1st
29_2_65_p1,Low Effort,Low Effort,1st,1st,1st
29_2_68_p1,Low Effort,Low Effort,1st,1st,1st
