word,modality,fit
hout,vocal,0.184
huid,gesture,0.485
huid,multimodal,0.492
huid,vocal,0.23
huilen,gesture,0.843
huilen,multimodal,0.831
huilen,vocal,0.823
huis,gesture,0.697
huis,multimodal,0.709
huis,vocal,0.237
ik,gesture,0.697
ik,multimodal,0.69
ik,vocal,0.358
in,gesture,0.447
in,multimodal,0.445
in,vocal,0.182
jagen,gesture,0.633
jagen,multimodal,0.683
jagen,vocal,0.304
jeuk,gesture,0.844
jeuk,multimodal,0.834
jeuk,vocal,0.429
jij,gesture,0.51
jij,multimodal,0.486
jij,vocal,0.244
kat,gesture,0.717
kat,multimodal,0.783
kat,vocal,0.841
kauwen,gesture,0.733
kauwen,multimodal,0.78
kauwen,vocal,0.714
kind,gesture,0.562
kind,multimodal,0.595
kind,vocal,0.431
kleding,gesture,0.513
kleding,multimodal,0.583
kleding,vocal,0.237
klein,gesture,0.782
klein,multimodal,0.779
klein,vocal,0.298
knie,gesture,0.389
knie,multimodal,0.419
knie,vocal,0.126
knopen,gesture,0.464
knopen,multimodal,0.462
knopen,vocal,0.2
komen,gesture,0.423
komen,multimodal,0.456
komen,vocal,0.331
kort,gesture,0.618
kort,multimodal,0.612
kort,vocal,0.217
kotsen,gesture,0.802
kotsen,multimodal,0.829
kotsen,vocal,0.799
koud,gesture,0.847
koud,multimodal,0.82
koud,vocal,0.745
kruipen,gesture,0.808
kruipen,multimodal,0.786
kruipen,vocal,0.267
laag (ruimtelijk),gesture,0.623
laag (ruimtelijk),multimodal,0.614
laag (ruimtelijk),vocal,0.22
lachen,gesture,0.829
lachen,multimodal,0.853
lachen,vocal,0.874
lang,gesture,0.761
lang,multimodal,0.759
lang,vocal,0.206
langzaam,gesture,0.689
langzaam,multimodal,0.697
langzaam,vocal,0.369
lepel,gesture,0.698
lepel,multimodal,0.667
lepel,vocal,0.208
levend,gesture,0.367
levend,multimodal,0.428
levend,vocal,0.272
lever,gesture,0.287
lever,multimodal,0.312
lever,vocal,0.118
licht,gesture,0.463
licht,multimodal,0.482
licht,vocal,0.196
likken,gesture,0.757
likken,multimodal,0.791
likken,vocal,0.687
lopen,gesture,0.841
lopen,multimodal,0.839
lopen,vocal,0.319
lucht,gesture,0.414
lucht,multimodal,0.491
lucht,vocal,0.386
luidruchtig,gesture,0.618
luidruchtig,gesture,0.618
luidruchtig,multimodal,0.64
luidruchtig,multimodal,0.64
luidruchtig,vocal,0.588
luidruchtig,vocal,0.588
luis,gesture,0.402
luis,multimodal,0.421
luis,vocal,0.281
maken,gesture,0.269
maken,multimodal,0.32
maken,vocal,0.123
man,gesture,0.579
man,multimodal,0.562
man,vocal,0.422
mier,gesture,0.289
mier,multimodal,0.325
mier,vocal,0.133
misschien,gesture,0.504
misschien,multimodal,0.6
misschien,vocal,0.315
mond,gesture,0.478
mond,multimodal,0.497
mond,vocal,0.246
naam,gesture,0.262
naam,multimodal,0.274
naam,vocal,0.21
nacht,gesture,0.417
nacht,multimodal,0.471
nacht,vocal,0.282
nat,gesture,0.404
nat,multimodal,0.42
nat,vocal,0.288
navel,gesture,0.476
navel,multimodal,0.38
navel,vocal,0.148
nek,gesture,0.503
nek,multimodal,0.506
nek,vocal,0.212
nemen,gesture,0.337
nemen,multimodal,0.406
nemen,vocal,0.159
neus,gesture,0.493
neus,multimodal,0.497
neus,vocal,0.284
niet,gesture,0.546
niet,multimodal,0.583
niet,vocal,0.332
nieuw,gesture,0.241
nieuw,multimodal,0.284
nieuw,vocal,0.177
nu,gesture,0.571
nu,multimodal,0.565
nu,vocal,0.261
onweer,gesture,0.397
onweer,multimodal,0.561
onweer,vocal,0.516
oog,gesture,0.676
oog,multimodal,0.639
oog,vocal,0.231
oor,gesture,0.561
oor,multimodal,0.603
oor,vocal,0.301
oud,gesture,0.553
oud,multimodal,0.598
oud,vocal,0.31
piepen,gesture,0.33
piepen,multimodal,0.543
piepen,vocal,0.745
regen,gesture,0.729
regen,multimodal,0.72
regen,vocal,0.487
rennen,gesture,0.827
rennen,multimodal,0.832
rennen,vocal,0.336
rivier,gesture,0.415
rivier,multimodal,0.5
rivier,vocal,0.415
rond,gesture,0.791
rond,multimodal,0.79
rond,vocal,0.238
rood,gesture,0.167
rood,multimodal,0.199
rood,vocal,0.104
rook,gesture,0.471
rook,multimodal,0.484
rook,vocal,0.268
rots,gesture,0.325
rots,multimodal,0.344
rots,vocal,0.239
rug,gesture,0.496
rug,multimodal,0.506
rug,vocal,0.193
ruiken,gesture,0.767
ruiken,multimodal,0.762
ruiken,vocal,0.503
ruw,gesture,0.333
ruw,multimodal,0.35
ruw,vocal,0.241
schaduw,gesture,0.319
schaduw,multimodal,0.328
schaduw,vocal,0.166
scherp,gesture,0.501
scherp,multimodal,0.557
scherp,vocal,0.29
slaan,gesture,0.797
slaan,multimodal,0.794
slaan,vocal,0.583
slang,gesture,0.744
slang,multimodal,0.805
slang,vocal,0.756
slapen,gesture,0.858
slapen,multimodal,0.858
slapen,vocal,0.736
slecht,gesture,0.536
slecht,multimodal,0.515
slecht,vocal,0.318
smaak,gesture,0.403
smaak,multimodal,0.477
smaak,vocal,0.426
snel,gesture,0.715
snel,multimodal,0.726
snel,vocal,0.457
sommige,gesture,0.214
sommige,multimodal,0.24
sommige,vocal,0.124
springen,gesture,0.835
springen,multimodal,0.815
springen,vocal,0.344
staan,gesture,0.607
staan,multimodal,0.588
staan,vocal,0.318
staart,gesture,0.595
staart,multimodal,0.613
staart,vocal,0.269
steen,gesture,0.347
steen,multimodal,0.368
steen,vocal,0.156
ster,gesture,0.563
ster,multimodal,0.603
ster,vocal,0.216
sterk,gesture,0.824
sterk,multimodal,0.822
sterk,vocal,0.409
stil,gesture,0.819
stil,multimodal,0.821
stil,vocal,0.753
strak,gesture,0.397
strak,multimodal,0.463
strak,vocal,0.212
tand,gesture,0.492
tand,multimodal,0.577
tand,vocal,0.367
toekomst,gesture,0.279
toekomst,multimodal,0.316
toekomst,vocal,0.17
tong,gesture,0.672
tong,multimodal,0.69
tong,vocal,0.453
touw,gesture,0.489
touw,multimodal,0.454
touw,vocal,0.18
uit,gesture,0.353
uit,multimodal,0.355
uit,vocal,0.167
vallen,gesture,0.717
vallen,multimodal,0.724
vallen,vocal,0.407
vangen,gesture,0.748
vangen,multimodal,0.716
vangen,vocal,0.302
vechten,gesture,0.835
vechten,multimodal,0.82
vechten,vocal,0.552
veel,gesture,0.505
veel,multimodal,0.516
veel,vocal,0.278
ver,gesture,0.578
ver,multimodal,0.551
ver,vocal,0.307
verbranden,gesture,0.557
verbranden,multimodal,0.562
verbranden,vocal,0.367
verbrijzelen,gesture,0.364
verbrijzelen,multimodal,0.408
verbrijzelen,vocal,0.3
verdrietig,gesture,0.817
verdrietig,multimodal,0.836
verdrietig,vocal,0.747
vergeten,gesture,0.454
vergeten,multimodal,0.5
vergeten,vocal,0.268
verleden,gesture,0.228
verleden,multimodal,0.24
verleden,vocal,0.129
vermalen,gesture,0.409
vermalen,multimodal,0.469
vermalen,vocal,0.322
verrot,gesture,0.277
verrot,multimodal,0.338
verrot,vocal,0.24
verschillend,gesture,0.264
verschillend,multimodal,0.33
verschillend,vocal,0.165
verstoppen,gesture,0.704
verstoppen,multimodal,0.702
verstoppen,vocal,0.206
verzamelen,gesture,0.5
verzamelen,multimodal,0.523
verzamelen,vocal,0.258
vijand,gesture,0.383
vijand,multimodal,0.376
vijand,vocal,0.247
vis,gesture,0.697
vis,multimodal,0.741
vis,vocal,0.518
vlees,gesture,0.326
vlees,multimodal,0.361
vlees,vocal,0.237
vleugel,gesture,0.649
vleugel,multimodal,0.662
vleugel,vocal,0.256
vlieg,gesture,0.598
vlieg,multimodal,0.682
vlieg,vocal,0.567
vliegen,gesture,0.834
vliegen,multimodal,0.806
vliegen,vocal,0.452
vlinder,gesture,0.717
vlinder,multimodal,0.706
vlinder,vocal,0.233
voelen,gesture,0.533
voelen,multimodal,0.587
voelen,vocal,0.199
voet,gesture,0.553
voet,multimodal,0.57
voet,vocal,0.233
vogel,gesture,0.796
vogel,multimodal,0.806
vogel,vocal,0.615
vooraan,gesture,0.44
vooraan,multimodal,0.478
vooraan,vocal,0.197
vork,gesture,0.582
vork,multimodal,0.629
vork,vocal,0.177
vriend,gesture,0.434
vriend,multimodal,0.472
vriend,vocal,0.19
vrouw,gesture,0.647
vrouw,multimodal,0.656
vrouw,vocal,0.404
vuur,gesture,0.613
vuur,multimodal,0.604
vuur,vocal,0.325
walgen,gesture,0.585
walgen,multimodal,0.673
walgen,vocal,0.665
wanneer,gesture,0.315
wanneer,multimodal,0.306
wanneer,vocal,0.187
wat,gesture,0.333
wat,multimodal,0.407
wat,vocal,0.319
water,gesture,0.56
water,multimodal,0.575
water,vocal,0.501
weten,gesture,0.507
weten,multimodal,0.561
weten,vocal,0.389
wie,gesture,0.399
wie,multimodal,0.445
wie,vocal,0.249
wijd,gesture,0.61
wijd,multimodal,0.646
wijd,vocal,0.242
wind,gesture,0.536
wind,multimodal,0.642
wind,vocal,0.61
wit,gesture,0.183
wit,multimodal,0.22
wit,vocal,0.195
wortel,gesture,0.387
wortel,multimodal,0.435
wortel,vocal,0.28
zand,gesture,0.276
zand,multimodal,0.325
zand,vocal,0.191
zeggen,gesture,0.448
zeggen,multimodal,0.527
zeggen,vocal,0.428
ziek,gesture,0.675
ziek,multimodal,0.717
ziek,vocal,0.549
zien,gesture,0.751
zien,multimodal,0.726
zien,vocal,0.184
zij,gesture,0.372
zij,multimodal,0.362
zij,vocal,0.157
zoemen,gesture,0.4
zoemen,multimodal,0.648
zoemen,vocal,0.716
zoet,gesture,0.258
zoet,multimodal,0.308
zoet,vocal,0.247
zout,gesture,0.286
zout,multimodal,0.303
zout,vocal,0.153
zuigen,gesture,0.641
zuigen,multimodal,0.671
zuigen,vocal,0.674
zuur,gesture,0.582
zuur,multimodal,0.577
zuur,vocal,0.362
zwaar,gesture,0.689
zwaar,multimodal,0.681
zwaar,vocal,0.383
zwak,gesture,0.401
zwak,multimodal,0.454
zwak,vocal,0.232
zwart,gesture,0.247
zwart,multimodal,0.264
zwart,vocal,0.114
zwemmen,gesture,0.829
zwemmen,multimodal,0.808
zwemmen,vocal,0.332
